,category,start,length
0,P,108,666.0
1,B,1258,377.0
2,P,1258,579.0
3,B,2517,534.0
4,P,2517,73.0
5,C,2707,239.0
6,P,3011,223.0
7,B,4088,854.0
8,C,4088,292.0
9,P,4422,258.0
10,B,6991,2286.0
11,C,6991,298.0
12,P,7434,223.0
13,B,8166,509.0
14,P,8166,111.0
15,C,8368,180.0
16,P,8657,67.0
17,C,8822,413.0
18,B,10094,438.0
19,P,10094,98.0
20,C,10204,198.0
21,P,10633,125.0
22,C,10787,250.0
23,P,11161,3605.0
24,C,14899,111.0
25,P,15031,3885.0
26,C,19182,106.0
27,P,19315,668.0
28,B,22730,2690.0
29,C,22730,154.0
30,P,22907,449.0
31,B,23920,510.0
32,C,23920,279.0
33,P,24478,217.0
34,B,25211,426.0
35,C,25211,131.0
36,P,25578,159.0
37,B,26362,434.0
38,C,26362,404.0
39,P,26816,102.0
40,B,28113,1195.0
41,P,28113,5080.0
42,C,33610,55.0
43,P,33683,8505.0
44,C,42475,1488.0
45,B,45470,1507.0
46,P,45470,8161.0
47,B,54210,444.0
48,C,54210,369.0
49,B,55297,454.0
50,C,55297,501.0
51,B,57461,1290.0
52,P,57461,3270.0
53,B,63194,2368.0
54,P,63194,4162.0
55,C,67436,1298.0
56,B,70619,1885.0
57,P,70619,8969.0
58,C,79828,300.0
59,B,80430,302.0
60,P,80430,426.0
61,C,81038,358.0
62,B,82522,931.0
63,C,82522,296.0
64,P,83071,248.0
65,C,83510,201.0
66,P,84062,97.0
67,C,84291,163.0
68,P,84479,307.0
69,B,85306,520.0
70,P,85306,1978.0
71,B,88139,855.0
72,C,88139,3139.0
73,P,91366,455.0
74,B,93009,1188.0
75,P,93009,8644.0
76,B,106660,4879.0
77,P,106660,241.0
78,C,106920,191.0
79,P,107134,4611.0
80,B,117952,6207.0
81,P,117952,5838.0
82,C,123859,1304.0
83,P,125302,897.0
84,C,126305,285.0
85,P,126683,386.0
86,B,127983,914.0
87,P,127983,159.0
88,B,129231,1089.0
89,C,129231,304.0
90,P,129606,66.0
91,C,129710,118.0
92,P,129848,149.0
93,C,130050,116.0
94,B,130540,374.0
95,P,130540,455.0
96,B,131684,459.0
97,C,131684,287.0
98,P,131998,2782.0
99,B,135630,381.0
100,C,135630,6232.0
101,P,141959,11944.0
102,B,158491,4454.0
103,C,158491,187.0
104,P,158871,127.0
105,C,159136,280.0
106,B,160236,820.0
107,C,160236,4032.0
108,B,170706,6438.0
109,P,170706,1972.0
110,C,172731,3837.0
111,B,179274,2636.0
112,P,179274,2874.0
113,C,182198,390.0
114,B,183080,349.0
115,C,183080,241.0
116,B,183804,468.0
117,C,183804,296.0
118,P,184342,651.0
119,C,185088,301.0
120,P,185419,268.0
121,B,186113,426.0
122,C,186113,7538.0
123,B,196111,2365.0
124,C,196111,2257.0
125,B,199986,1618.0
126,C,199986,346.0
127,B,201128,796.0
128,C,201128,231.0
129,B,205576,4217.0
130,P,205576,2245.0
131,C,207875,640.0
132,B,218298,9783.0
133,P,218298,2556.0
134,C,220926,1255.0
135,B,223981,1547.0
136,C,223981,369.0
137,B,229814,5464.0
138,C,229814,3688.0
139,B,235256,1677.0
140,C,235256,885.0
141,B,237120,979.0
142,P,237120,2661.0
143,B,243231,3450.0
144,P,243231,1560.0
145,C,244863,218.0
146,B,245783,702.0
147,C,245783,416.0
148,B,257594,11395.0
149,C,257594,120.0
150,P,257731,228.0
151,C,257990,374.0
152,B,259509,1145.0
153,C,259509,6211.0
154,B,267916,2196.0
155,C,267916,2579.0
