,category,start,length
0,C,160,560.0
1,B,1222,470.0
2,C,1222,360.0
3,B,2825,972.0
4,C,2825,472.0
5,B,5131,1647.0
6,C,5131,207.0
7,P,5382,171.0
8,B,6038,462.0
9,C,6038,128.0
10,B,6740,574.0
11,C,6740,1496.0
12,P,8311,108.0
13,C,8440,108.0
14,B,12882,4334.0
15,C,12882,136.0
16,B,13714,696.0
17,C,13714,206.0
18,B,15509,1589.0
19,C,15509,3432.0
20,B,26713,7607.0
21,C,26713,1481.0
22,B,30527,2286.0
23,C,30527,2482.0
24,B,37016,4007.0
25,C,37016,1260.0
26,B,45364,7088.0
27,C,45364,3049.0
28,B,49863,1378.0
29,C,49863,2860.0
30,B,55756,2736.0
31,C,55756,2431.0
32,B,61633,3284.0
33,C,61633,2044.0
34,P,63778,1538.0
35,B,68009,2693.0
36,P,68009,7359.0
37,B,80716,5085.0
38,C,80716,965.0
39,B,88093,6412.0
40,C,88093,828.0
41,B,89761,840.0
42,P,89761,4469.0
43,C,94436,2964.0
44,B,102632,5232.0
45,C,102632,430.0
46,B,114715,11653.0
47,C,114715,245.0
48,B,117563,2603.0
49,C,117563,456.0
50,B,122200,4181.0
51,C,122200,149.0
52,P,122381,121.0
53,B,124190,1688.0
54,P,124190,289.0
55,C,124527,128.0
56,P,124688,358.0
57,B,129047,3962.0
58,C,129047,761.0
59,B,144437,14629.0
60,P,144437,1337.0
61,C,145852,1705.0
62,B,148837,1280.0
63,C,148837,1340.0
64,B,157765,7588.0
65,P,157765,2213.0
66,B,162646,2668.0
67,C,162646,520.0
68,B,166352,3186.0
69,C,166352,2530.0
70,B,170713,1831.0
71,P,170713,644.0
72,B,176577,5220.0
73,P,176577,3168.0
74,B,189319,9574.0
75,C,189319,1936.0
76,P,191339,4209.0
77,B,203348,7800.0
78,P,203348,517.0
79,B,206744,2879.0
80,P,206744,2868.0
81,B,216024,6412.0
82,C,216024,1380.0
83,B,227702,10298.0
84,P,227702,1828.0
85,B,230488,958.0
86,P,230488,695.0
87,B,234818,3635.0
88,P,234818,6416.0
89,B,241689,383.0
90,C,241689,909.0
91,P,242659,1696.0
92,B,245914,1559.0
93,C,245914,1049.0
94,B,248436,1473.0
95,P,248436,640.0
96,B,251016,1940.0
97,P,251016,4721.0
98,B,259639,3759.0
99,P,259639,770.0
100,B,262094,1685.0
101,C,262094,1070.0
102,B,264558,1394.0
103,P,264558,1423.0
