,0,1
0,B,4609.0
1,P,573.0
2,C,1890.0
3,B,1771.0
4,C,138.0
5,P,543.0
6,B,488.0
7,C,676.0
8,B,1547.0
9,P,332.0
10,C,234.0
11,B,2434.0
12,C,372.0
13,P,690.0
14,C,494.0
15,B,1277.0
16,P,141.0
17,B,4858.0
18,C,1969.0
19,B,1584.0
20,C,287.0
21,P,1045.0
22,B,541.0
23,C,273.0
24,B,2873.0
25,C,227.0
26,B,806.0
27,C,282.0
28,B,769.0
29,C,493.0
30,B,600.0
31,C,825.0
32,B,1921.0
33,C,1660.0
34,B,793.0
35,C,1010.0
36,B,421.0
37,C,502.0
38,P,1858.0
39,B,2758.0
40,P,4146.0
41,C,2224.0
42,B,18377.0
43,C,646.0
44,B,1897.0
45,C,1074.0
46,B,995.0
47,C,2952.0
48,B,4312.0
49,C,567.0
50,P,127.0
51,C,394.0
52,P,1703.0
53,B,975.0
54,P,1662.0
55,B,17543.0
56,C,11601.0
57,B,6593.0
58,C,970.0
59,B,2177.0
60,C,4626.0
61,B,565.0
62,P,97.0
63,C,296.0
64,B,537.0
65,C,406.0
66,P,1655.0
67,B,5560.0
68,P,1943.0
69,B,3851.0
70,P,13297.0
71,C,4043.0
72,B,2859.0
73,C,1092.0
74,B,12806.0
75,C,808.0
76,B,1345.0
77,C,1371.0
78,B,711.0
79,C,4305.0
80,B,1263.0
81,C,5233.0
82,B,1283.0
83,C,1053.0
84,B,402.0
85,C,411.0
86,B,2502.0
87,P,2102.0
88,B,8800.0
89,P,9890.0
90,C,6538.0
91,B,1730.0
92,C,212.0
93,P,3650.0
94,C,1545.0
95,P,1219.0
96,B,1747.0
97,C,1479.0
98,B,2239.0
99,C,2412.0
100,B,797.0
101,C,1355.0
102,B,1945.0
103,C,1379.0
104,B,12117.0
105,C,4275.0
