,0,1
0,C2,126.0
1,C1,434.0
2,B,470.0
3,C1,137.0
4,C2,223.0
5,B,972.0
6,C1,472.0
7,B,1647.0
8,C2,207.0
9,P,171.0
10,B,462.0
11,C2,128.0
12,B,574.0
13,C2,109.0
14,C1,1387.0
15,P,108.0
16,C2,108.0
17,B,4334.0
18,C2,136.0
19,B,696.0
20,C2,206.0
21,B,1589.0
22,C1,3432.0
23,B,7607.0
24,C1,1481.0
25,B,2286.0
26,C1,2482.0
27,B,4007.0
28,C1,1260.0
29,B,7088.0
30,C1,3049.0
31,B,1378.0
32,C1,965.0
33,C2,1895.0
34,B,2736.0
35,C1,2431.0
36,B,3284.0
37,C1,2044.0
38,P,1538.0
39,B,2693.0
40,P,7359.0
41,B,5085.0
42,C1,965.0
43,B,6412.0
44,C1,828.0
45,B,840.0
46,P,4469.0
47,C1,2964.0
48,B,5232.0
49,C1,430.0
50,B,11653.0
51,C1,245.0
52,B,2603.0
53,C2,456.0
54,B,4181.0
55,C2,149.0
56,P,121.0
57,B,1688.0
58,P,289.0
59,C2,128.0
60,P,358.0
61,B,3962.0
62,C1,761.0
63,B,14629.0
64,P,1337.0
65,C1,1705.0
66,B,1280.0
67,C1,1340.0
68,B,7588.0
69,P,2213.0
70,B,2668.0
71,C1,520.0
72,B,3186.0
73,C1,2530.0
74,B,1831.0
75,P,644.0
76,B,5220.0
77,P,3168.0
78,B,9574.0
79,C1,1936.0
80,P,4209.0
81,B,7800.0
82,P,517.0
83,B,2879.0
84,P,2868.0
85,B,6412.0
86,C1,1380.0
87,B,10298.0
88,P,1828.0
89,B,958.0
90,P,695.0
91,B,3635.0
92,P,6416.0
93,B,383.0
94,C1,909.0
95,P,1696.0
96,B,1559.0
97,C1,1049.0
98,B,1473.0
99,P,640.0
100,B,1940.0
101,P,4721.0
102,B,3759.0
103,P,770.0
104,B,1685.0
105,C1,1070.0
106,B,1394.0
107,P,1423.0
