,category,start,length
0,B,4609,4609.0
1,P,4609,573.0
2,C2,5212,1890.0
3,B,9031,1771.0
4,C2,9031,138.0
5,P,9346,543.0
6,B,10377,488.0
7,C1,10377,676.0
8,B,12661,1547.0
9,P,12661,332.0
10,C2,13043,234.0
11,B,15711,2434.0
12,C2,15711,372.0
13,P,16142,690.0
14,C2,16952,494.0
15,B,18961,1277.0
16,P,18961,141.0
17,B,23960,4858.0
18,C2,23960,1969.0
19,B,27564,1584.0
20,C1,27564,287.0
21,P,27899,1045.0
22,B,29485,541.0
23,C1,29485,273.0
24,B,32631,2873.0
25,C1,32631,69.0
26,C2,32746,158.0
27,B,33710,806.0
28,C2,33710,282.0
29,B,34761,769.0
30,C2,34761,493.0
31,B,35854,600.0
32,C2,35854,825.0
33,B,38600,1921.0
34,C1,38600,812.0
35,C2,39443,848.0
36,B,41112,793.0
37,C1,41112,1010.0
38,B,42543,421.0
39,C2,42543,502.0
40,P,43085,1858.0
41,B,47701,2758.0
42,P,47701,4146.0
43,C2,51943,2224.0
44,B,72544,18377.0
45,C2,72544,128.0
46,C1,72702,518.0
47,B,75117,1897.0
48,C1,75117,1074.0
49,B,77186,995.0
50,C1,77186,2952.0
51,B,84450,4312.0
52,C2,84450,567.0
53,P,85301,127.0
54,C2,85453,394.0
55,P,85997,1703.0
56,B,88675,975.0
57,P,88675,1662.0
58,B,107880,17543.0
59,C1,107880,7286.0
60,C2,115243,4315.0
61,B,126151,6593.0
62,C2,126151,970.0
63,B,129298,2177.0
64,C1,129298,4626.0
65,B,134698,565.0
66,P,134698,97.0
67,C2,134833,296.0
68,B,135666,537.0
69,C2,135666,406.0
70,P,136105,1655.0
71,B,143320,5560.0
72,P,143320,1943.0
73,B,149114,3851.0
74,P,149114,13297.0
75,C2,162524,4043.0
76,B,169426,2859.0
77,C2,169426,1092.0
78,B,183324,12806.0
79,C2,183324,808.0
80,B,185477,1345.0
81,C2,185477,1371.0
82,B,187559,711.0
83,C1,187559,1693.0
84,C2,189320,2612.0
85,B,193195,1263.0
86,C2,193195,5233.0
87,B,199711,1283.0
88,C1,199711,1053.0
89,B,201205,402.0
90,C1,201205,411.0
91,B,204118,2502.0
92,P,204118,2102.0
93,B,215020,8800.0
94,P,215020,9890.0
95,C1,224974,6538.0
96,B,233242,1730.0
97,C1,233242,212.0
98,P,233534,3650.0
99,C1,237606,965.0
100,C2,238619,580.0
101,P,239251,1219.0
102,B,242271,1747.0
103,C2,242271,1479.0
104,B,245989,2239.0
105,C1,245989,2412.0
106,B,249198,797.0
107,C2,249198,820.0
108,C1,250076,535.0
109,B,252556,1945.0
110,C1,252556,1379.0
111,B,266052,12117.0
112,C2,266052,4275.0
