,0,1
0,C,229.0
1,P,99.0
2,B,1470.0
3,C,1369.0
4,B,816.0
5,C,186.0
6,P,283.0
7,B,312.0
8,P,2162.0
9,C,2361.0
10,P,24.0
11,C,28553.0
12,B,2372.0
13,C,32382.0
14,B,4469.0
15,C,69295.0
16,P,55.0
17,C,66.0
18,P,134.0
19,B,1545.0
20,C,532.0
21,B,1159.0
22,P,135.0
23,C,347.0
24,B,561.0
25,C,228.0
26,B,777.0
27,P,328.0
28,B,695.0
29,P,305.0
30,B,748.0
31,C,646.0
32,P,178.0
33,C,226.0
34,B,1058.0
35,C,31301.0
36,B,1733.0
37,C,1234.0
38,B,893.0
39,C,1236.0
40,B,4070.0
41,P,89.0
42,C,1063.0
43,B,484.0
44,C,4367.0
45,P,383.0
46,C,535.0
47,B,1999.0
48,C,4300.0
49,B,593.0
50,C,1516.0
51,B,3310.0
52,C,14963.0
53,P,608.0
54,C,464.0
55,B,625.0
56,C,29572.0
