,category,start,length
0,B,637,637.0
1,P,637,166.0
2,C1,1036,122.0
3,P,1284,530.0
4,B,2427,547.0
5,P,2427,191.0
6,C1,2649,112.0
7,C2,2830,483.0
8,P,3685,438.0
9,C2,4530,103.0
10,P,4648,136.0
11,C2,4813,162.0
12,P,5007,1057.0
13,C2,6543,2429.0
14,P,9073,99.0
15,C2,9188,118.0
16,P,9355,390.0
17,C2,9857,198.0
18,B,10645,568.0
19,C2,10645,737.0
20,B,12201,698.0
21,C2,12201,153.0
22,B,13815,1461.0
23,C1,13815,145.0
24,C2,14114,1235.0
25,C1,15870,92.0
26,B,16575,613.0
27,C1,16575,207.0
28,C2,16809,1018.0
29,B,19419,1110.0
30,P,19419,317.0
31,B,20554,818.0
32,C2,20554,714.0
33,B,21947,535.0
34,C2,21947,16303.0
35,P,38720,117.0
36,C2,38870,449.0
37,P,39584,481.0
38,B,45844,5779.0
39,C2,45844,1742.0
40,P,47953,4962.0
41,C2,53047,4827.0
42,C1,57924,164.0
43,C2,58135,7263.0
44,C1,65591,242.0
45,C2,65864,1621.0
46,B,74363,6800.0
47,C2,74363,2502.0
48,C1,76982,2679.0
49,C2,79745,5099.0
50,C1,85004,133.0
51,C2,85164,78.0
52,P,85329,168.0
53,C2,85739,759.0
54,B,90663,4133.0
55,C2,90663,8623.0
56,P,99656,107.0
57,C2,99783,15615.0
58,B,116432,368.0
59,C2,116432,8720.0
60,P,125408,345.0
61,C2,126152,278.0
62,B,129329,2899.0
63,C2,129329,383.0
64,P,129798,345.0
65,B,133090,2947.0
66,C2,133090,214.0
67,P,133356,244.0
68,B,135452,1852.0
69,C2,135452,182.0
70,B,136758,1124.0
71,C1,136758,253.0
72,B,138010,999.0
73,P,138010,178.0
74,B,139063,875.0
75,C2,139063,290.0
76,B,139741,388.0
77,C2,139741,210.0
78,B,141269,1318.0
79,C1,141269,110.0
80,C2,141431,558.0
81,P,142106,106.0
82,B,149306,7094.0
83,C2,149306,20485.0
84,C1,170424,107.0
85,C2,170562,1950.0
86,B,177401,4791.0
87,C2,177401,3122.0
88,B,181867,1201.0
89,C2,181867,148.0
90,P,182050,332.0
91,C2,182642,155.0
92,P,182848,112.0
93,C2,183082,382.0
94,B,184772,1279.0
95,C2,184772,289.0
96,B,185707,646.0
97,P,185707,234.0
98,B,186732,791.0
99,C2,186732,712.0
100,C1,187654,644.0
101,P,188358,312.0
102,B,189036,366.0
103,C2,189036,319.0
104,C1,189385,260.0
105,C2,189861,20421.0
106,C1,210918,90.0
107,C2,211044,419.0
108,P,211595,321.0
109,C2,211968,280.0
110,B,216535,4287.0
111,C2,216535,1042.0
112,P,217753,957.0
113,C2,218767,8924.0
114,C1,227832,222.0
115,C2,228114,11620.0
116,C1,240113,149.0
117,C2,240305,323.0
118,P,240754,290.0
119,B,241564,337.0
120,C1,241564,1027.0
121,B,243724,911.0
122,C2,243724,379.0
123,B,244735,632.0
124,P,244735,460.0
125,C2,245294,187.0
126,B,246050,569.0
127,C1,246050,802.0
128,C2,247110,335.0
129,C1,247820,376.0
130,C2,248242,291.0
131,B,248944,411.0
132,C1,248944,252.0
133,C2,249229,533.0
134,P,249896,1649.0
135,C2,251598,18433.0
