,0,1
0,C1,178.0
1,P,115.0
2,C2,118.0
3,P,224.0
4,C2,80.0
5,P,73.0
6,C2,44.0
7,P,174.0
8,C2,150.0
9,B,551.0
10,P,812.0
11,C1,72.0
12,P,142.0
13,B,899.0
14,C1,107.0
15,C2,182.0
16,C1,114.0
17,C2,383.0
18,B,363.0
19,C2,418.0
20,P,270.0
21,B,457.0
22,C2,532.0
23,C1,56.0
24,C2,445.0
25,B,388.0
26,C2,577.0
27,B,523.0
28,P,1523.0
29,B,1892.0
30,C2,2766.0
31,P,2694.0
32,C2,377.0
33,P,142.0
34,C1,160.0
35,C2,138.0
36,P,344.0
37,C2,122.0
38,C1,51.0
39,C2,97.0
40,B,431.0
41,C2,477.0
42,B,502.0
43,C2,955.0
44,P,516.0
45,C2,195.0
46,P,110.0
47,B,933.0
48,C2,150.0
49,C1,649.0
50,P,341.0
51,C2,4579.0
52,C1,196.0
53,C2,660.0
54,C1,492.0
55,C2,262.0
56,B,565.0
57,C1,118.0
58,B,422.0
59,P,115.0
60,C2,162.0
61,B,373.0
62,P,619.0
63,B,494.0
64,P,211.0
65,C2,2674.0
66,B,500.0
67,P,95.0
68,C1,106.0
69,B,323.0
70,C2,365.0
71,P,455.0
72,C1,171.0
73,B,654.0
74,C2,327.0
75,B,325.0
76,C2,7546.0
77,C1,375.0
78,P,67.0
79,C1,531.0
80,C2,818.0
81,B,5961.0
82,C2,9818.0
83,C1,151.0
84,C2,350.0
85,B,725.0
86,C2,178.0
87,B,1500.0
88,P,1735.0
89,C1,6866.0
90,B,1222.0
91,C1,6680.0
92,C2,7363.0
93,P,89.0
94,C2,1717.0
95,P,63.0
96,C2,150.0
97,B,880.0
98,P,249.0
99,C1,99.0
100,C2,466.0
101,B,3596.0
102,C2,27512.0
103,C1,314.0
104,C2,293.0
105,C1,13917.0
106,P,684.0
107,B,1508.0
108,C1,2529.0
109,C2,11075.0
110,B,854.0
111,C2,1119.0
112,B,2035.0
113,C2,170.0
114,B,368.0
115,C2,252.0
116,C1,140.0
117,C2,802.0
118,C1,129.0
119,B,776.0
120,C2,88.0
121,B,5941.0
122,C2,466.0
123,C1,1018.0
124,C2,326.0
125,C1,137.0
126,C2,564.0
127,P,232.0
128,C1,96.0
129,C2,4208.0
130,C1,674.0
131,B,428.0
132,C2,775.0
133,C1,195.0
134,C2,681.0
135,B,2406.0
136,C2,68.0
137,P,128.0
138,C1,554.0
139,C2,526.0
140,B,512.0
141,C1,326.0
142,P,697.0
143,C2,148.0
144,C1,526.0
145,C2,68.0
146,B,379.0
147,C2,1159.0
148,C1,562.0
149,C2,912.0
150,C1,153.0
151,C2,405.0
152,B,1398.0
153,C2,2348.0
154,B,311.0
155,C1,357.0
156,C2,809.0
157,B,342.0
158,C2,73.0
159,C1,89.0
160,C2,105.0
161,B,1073.0
162,C2,5659.0
163,C1,296.0
164,C2,591.0
165,C1,317.0
166,C2,513.0
167,B,4268.0
168,C2,6412.0
169,C1,136.0
170,C2,1296.0
171,P,60.0
172,C1,463.0
173,C2,91.0
174,B,782.0
175,C2,502.0
176,B,1114.0
177,C2,4076.0
178,C1,617.0
179,B,514.0
180,C1,304.0
181,B,397.0
182,C2,1176.0
183,B,338.0
184,C2,7034.0
185,C1,2161.0
186,C2,18334.0
