,category,start,length
0,P,155,453.0
1,B,2862,1999.0
2,C2,2862,226.0
3,B,3656,568.0
4,C2,3656,142.0
5,B,4317,519.0
6,P,4317,1376.0
7,B,16980,11287.0
8,C2,16980,5812.0
9,B,54848,31972.0
10,C2,54848,10618.0
11,B,73051,7585.0
12,P,73051,1636.0
13,B,90052,15365.0
14,C2,90052,6554.0
15,B,99946,3340.0
16,C2,99946,2172.0
17,B,121509,19391.0
18,C2,121509,14533.0
19,B,139646,3604.0
20,C2,139646,7357.0
21,B,162922,15919.0
22,C2,162922,3644.0
23,B,172234,5668.0
24,C2,172234,658.0
25,C1,172996,232.0
26,P,173273,261.0
27,C2,173585,2445.0
28,B,187593,11563.0
29,C2,187593,835.0
30,B,189945,1288.0
31,P,189945,6905.0
32,B,205979,9129.0
33,P,205979,2045.0
34,B,220191,12167.0
35,P,220191,144.0
36,B,220853,518.0
37,C2,220853,378.0
38,B,233060,11829.0
39,C2,233060,5538.0
40,B,247351,8729.0
41,P,247351,3390.0
42,B,252680,1939.0
43,C1,252680,1736.0
44,B,268305,13889.0
45,C1,268305,2196.0
