,category,start,length
0,B,308,308.0
1,C2,308,217.0
2,P,723,680.0
3,C2,1445,124.0
4,B,3965,2396.0
5,P,3965,98.0
6,C2,4084,332.0
7,P,4454,378.0
8,B,5521,423.0
9,C2,5521,11354.0
10,C1,17218,193.0
11,C2,17439,5945.0
12,C1,23447,340.0
13,C2,23834,307.0
14,B,24785,644.0
15,C2,24785,885.0
16,P,25749,302.0
17,C2,26088,11074.0
18,P,37348,383.0
19,C2,37771,816.0
20,B,39085,353.0
21,C2,39085,873.0
22,B,42125,2128.0
23,C2,42125,939.0
24,B,50915,7520.0
25,C2,50915,5277.0
26,C1,56232,311.0
27,P,56592,163.0
28,C1,56804,424.0
29,B,59948,2720.0
30,C2,59948,4469.0
31,B,66483,1961.0
32,C2,66483,7723.0
33,C1,74273,28317.0
34,C2,103319,1178.0
35,C1,104613,5247.0
36,C2,110001,23889.0
37,C1,134160,14917.0
38,C2,149298,4981.0
39,C1,154358,4707.0
40,C2,159250,2439.0
41,B,163529,1730.0
42,P,163529,340.0
43,C2,163916,1404.0
44,P,165398,961.0
45,C2,166433,13259.0
46,C1,180037,4734.0
47,B,203266,18495.0
48,C1,203266,9847.0
49,B,216537,3339.0
50,C2,216537,2204.0
51,C1,218880,1938.0
52,B,224579,3761.0
53,C2,224579,224.0
54,B,226173,1370.0
55,C2,226173,225.0
56,P,226432,413.0
57,C2,226884,37182.0
58,C1,265020,2383.0
59,C2,267510,2945.0
