,0,1
0,B,313.0
1,P,426.0
2,B,368.0
3,P,1310.0
4,C,620.0
5,P,1360.0
6,B,458.0
7,P,984.0
8,B,375.0
9,P,8077.0
10,B,2680.0
11,C,1636.0
12,B,4123.0
13,P,4731.0
14,B,883.0
15,P,2942.0
16,B,890.0
17,P,3148.0
18,C,182.0
19,P,14397.0
20,C,7163.0
21,B,6638.0
22,P,7001.0
23,C,5395.0
24,P,8580.0
25,C,1455.0
26,B,13682.0
27,C,2332.0
28,B,9787.0
29,C,3705.0
30,B,4391.0
31,P,2814.0
32,C,5666.0
33,B,2628.0
34,C,2268.0
35,P,10029.0
36,C,13167.0
37,P,1494.0
38,C,5386.0
39,P,11842.0
40,C,5618.0
41,B,7340.0
42,C,5331.0
43,B,14121.0
44,P,19258.0
45,B,618.0
46,P,1380.0
47,C,1452.0
48,B,1942.0
49,P,2355.0
50,B,361.0
51,P,19453.0
52,C,2115.0
