,category,start,length
0,B,313,313.0
1,P,313,426.0
2,B,1353,368.0
3,P,1353,1310.0
4,C2,2737,620.0
5,P,3426,1360.0
6,B,5244,458.0
7,P,5244,984.0
8,B,6603,375.0
9,P,6603,8077.0
10,B,17532,2680.0
11,C1,17532,1636.0
12,B,23291,4123.0
13,P,23291,4731.0
14,B,28905,883.0
15,P,28905,2942.0
16,B,32805,890.0
17,P,32805,3148.0
18,C1,36260,182.0
19,P,36627,14397.0
20,C2,51181,7163.0
21,B,65065,6638.0
22,P,65065,7001.0
23,C2,72164,5395.0
24,P,77666,8580.0
25,C1,86344,1455.0
26,B,101481,13682.0
27,C1,101481,2332.0
28,B,113600,9787.0
29,C2,113600,3705.0
30,B,121696,4391.0
31,P,121696,2814.0
32,C2,124771,5666.0
33,B,133065,2628.0
34,C1,133065,1811.0
35,C2,134971,457.0
36,P,135688,10029.0
37,C2,145813,13167.0
38,P,159060,1494.0
39,C1,160617,4425.0
40,C2,165179,961.0
41,P,166269,11842.0
42,C2,178251,5618.0
43,B,191209,7340.0
44,C2,191209,5331.0
45,B,210661,14121.0
46,P,210661,19258.0
47,B,230626,618.0
48,P,230626,1380.0
49,C2,232169,1452.0
50,B,235563,1942.0
51,P,235563,2355.0
52,B,238279,361.0
53,P,238279,19453.0
54,C1,258134,2115.0
