,0,1
0,C,245.0
1,P,90.0
2,C,231.0
3,B,709.0
4,C,393.0
5,B,356.0
6,C,558.0
7,P,1646.0
8,B,742.0
9,C,193.0
10,P,116.0
11,C,199.0
12,P,491.0
13,C,287.0
14,P,501.0
15,C,299.0
16,P,518.0
17,B,468.0
18,C,9626.0
19,B,1696.0
20,C,9175.0
21,B,4454.0
22,C,13830.0
23,B,8299.0
24,C,6529.0
25,B,603.0
26,C,8475.0
27,B,7899.0
28,C,11644.0
29,B,573.0
30,C,487.0
31,B,4815.0
32,C,272.0
33,B,362.0
34,C,15134.0
35,B,6755.0
36,C,9343.0
37,B,3587.0
38,C,8615.0
39,B,11126.0
40,C,284.0
41,B,10454.0
42,C,35915.0
43,B,3665.0
44,P,138.0
45,C,786.0
46,P,297.0
47,B,3523.0
48,P,194.0
49,C,6230.0
50,P,207.0
51,B,10735.0
52,C,18805.0
53,B,6563.0
54,C,8730.0
