,category,start,length
0,B,705,705.0
1,C,705,283.0
2,B,1332,301.0
3,C,1332,85.0
4,P,1548,227.0
5,B,2418,643.0
6,C,2418,243.0
7,P,2733,1934.0
8,C,4859,68.0
9,P,4961,1493.0
10,C,6554,20296.0
11,B,30886,3473.0
12,C,30886,18059.0
13,B,50509,1230.0
14,C,50509,56074.0
15,B,110213,2539.0
16,C,110213,42054.0
17,B,163605,10557.0
18,C,163605,12926.0
19,B,177722,919.0
20,C,177722,13612.0
21,B,193282,1535.0
22,C,193282,1042.0
23,B,199387,5008.0
24,C,199387,11427.0
25,B,212306,950.0
26,C,212306,689.0
27,B,214787,1474.0
28,C,214787,271.0
29,B,215520,462.0
30,C,215520,6347.0
31,B,222565,396.0
32,C,222565,46863.0
