,0,1
0,C2,554.0
1,P,72.0
2,B,1052.0
3,P,140.0
4,C2,231.0
5,B,320.0
6,P,75.0
7,C2,60.0
8,B,1654.0
9,C2,676.0
10,B,748.0
11,C2,10571.0
12,C1,3392.0
13,C2,5608.0
14,C1,668.0
15,C2,496.0
16,P,71.0
17,C2,289.0
18,P,177.0
19,C2,125.0
20,B,342.0
21,P,208.0
22,C1,122.0
23,B,391.0
24,C2,106.0
25,B,507.0
26,C2,211.0
27,C1,422.0
28,C2,152.0
29,C1,106.0
30,C2,150.0
31,B,307.0
32,C2,80.0
33,P,69.0
34,C2,976.0
35,B,1412.0
36,C2,11847.0
37,B,1152.0
38,C2,316.0
39,P,179.0
40,B,1237.0
41,C1,490.0
42,C2,22710.0
43,C1,7914.0
44,P,106.0
45,C1,31425.0
46,B,7158.0
47,C1,24372.0
48,B,7233.0
49,C1,16404.0
50,B,7322.0
51,C1,30533.0
52,B,4695.0
53,C1,21987.0
54,C2,1953.0
55,C1,34133.0
