,category,start,length
0,P,145,436.0
1,B,2780,1803.0
2,C,2780,1645.0
3,P,4473,2692.0
4,B,9673,2447.0
5,C,9673,2244.0
6,P,11976,7141.0
7,B,28635,9453.0
8,P,28635,3219.0
9,B,32645,791.0
10,C,32645,5291.0
11,B,39797,1861.0
12,C,39797,1905.0
13,B,42071,369.0
14,C,42071,6436.0
15,B,52410,3903.0
16,C,52410,1263.0
17,B,54441,720.0
18,C,54441,978.0
19,P,55483,117.0
20,C,55631,18261.0
21,B,80255,5957.0
22,P,80255,1265.0
23,C,81612,1674.0
24,B,83701,415.0
25,C,83701,2698.0
26,B,86864,465.0
27,P,86864,1504.0
28,C,88461,18455.0
29,P,108106,1622.0
30,C,109865,22370.0
31,P,133392,1363.0
32,C,134860,5507.0
33,B,141101,441.0
34,C,141101,3665.0
35,B,148349,3403.0
36,P,148349,616.0
37,C,149236,43051.0
38,B,198034,3787.0
39,C,198034,33994.0
40,B,246158,12657.0
41,C,246158,5767.0
42,B,254682,2757.0
43,C,254682,5771.0
44,B,260897,444.0
45,P,260897,3225.0
46,B,264445,323.0
47,P,264445,5849.0
