,category,start,length
0,P,145,436.0
1,B,2780,1803.0
2,C2,2780,1645.0
3,P,4473,2692.0
4,B,9673,2447.0
5,C2,9673,2244.0
6,P,11976,7141.0
7,B,28635,9453.0
8,P,28635,3219.0
9,B,32645,791.0
10,C2,32645,5291.0
11,B,39797,1861.0
12,C2,39797,1905.0
13,B,42071,369.0
14,C2,42071,6436.0
15,B,52410,3903.0
16,C1,52410,1263.0
17,B,54441,720.0
18,C2,54441,762.0
19,C1,55234,216.0
20,P,55483,117.0
21,C2,55631,18261.0
22,B,80255,5957.0
23,P,80255,1265.0
24,C2,81612,1674.0
25,B,83701,415.0
26,C2,83701,2698.0
27,B,86864,465.0
28,P,86864,1504.0
29,C2,88461,18455.0
30,P,108106,1622.0
31,C2,109865,19093.0
32,C1,130029,3277.0
33,P,133392,1363.0
34,C2,134860,5507.0
35,B,141101,441.0
36,C2,141101,2077.0
37,C1,143280,1022.0
38,C2,144380,566.0
39,B,148349,3403.0
40,P,148349,616.0
41,C2,149236,1837.0
42,C1,151207,1900.0
43,C2,153288,2183.0
44,C1,155554,17149.0
45,C2,173408,5717.0
46,C1,179364,14265.0
47,B,198034,3787.0
48,C1,198034,5889.0
49,C2,204190,2052.0
50,C1,206380,5265.0
51,C2,211892,5815.0
52,C1,217928,8048.0
53,C2,226316,3488.0
54,C1,229941,2142.0
55,C2,232206,1295.0
56,B,246158,12657.0
57,C2,246158,5767.0
58,B,254682,2757.0
59,C1,254682,5771.0
60,B,260897,444.0
61,P,260897,3225.0
62,B,264445,323.0
63,P,264445,5849.0
