,0,1
0,C1,77.0
1,C2,174.0
2,P,904.0
3,B,4784.0
4,P,1493.0
5,B,648.0
6,P,3110.0
7,C2,9840.0
8,C1,5033.0
9,C2,3169.0
10,C1,2927.0
11,B,4689.0
12,C2,3148.0
13,C1,5483.0
14,C2,6336.0
15,C1,1684.0
16,C2,1616.0
17,C1,3772.0
18,C2,2239.0
19,C1,8295.0
20,B,4530.0
21,C2,766.0
22,B,1142.0
23,C2,1848.0
24,C1,4020.0
25,C2,3405.0
26,B,3437.0
27,C2,3585.0
28,C1,2906.0
29,B,335.0
30,C2,18634.0
31,B,4923.0
32,C2,3779.0
33,C1,8393.0
34,B,1545.0
35,C1,4868.0
36,C2,1666.0
37,C1,5773.0
38,C2,6479.0
39,C1,18825.0
40,B,8408.0
41,C1,2829.0
42,C2,2063.0
43,B,8680.0
44,C2,3626.0
45,C1,12231.0
46,B,1705.0
47,C1,29428.0
48,B,1370.0
49,C1,1811.0
50,B,3025.0
51,C2,5374.0
52,C1,7924.0
53,C2,3442.0
54,C1,3051.0
