,0,1
0,P,2660.0
1,B,841.0
2,C,166.0
3,P,2491.0
4,B,852.0
5,P,13869.0
6,C,2220.0
7,B,5499.0
8,P,3037.0
9,B,1390.0
10,P,813.0
11,B,30206.0
12,C,2683.0
13,B,5846.0
14,C,7381.0
15,P,5851.0
16,B,9376.0
17,C,4894.0
18,P,2070.0
19,C,3249.0
20,B,2164.0
21,P,4099.0
22,B,15302.0
23,P,1931.0
24,C,1163.0
25,B,11815.0
26,C,10654.0
27,B,19847.0
28,C,9806.0
29,B,5770.0
30,P,763.0
31,C,8221.0
32,P,1974.0
33,B,24960.0
34,C,3242.0
35,P,2926.0
36,C,3684.0
37,P,6901.0
38,C,3410.0
39,P,1127.0
40,C,3553.0
41,B,13653.0
42,P,4971.0
