,category,start,length
0,B,5217,5217.0
1,C,5217,146.0
2,P,5512,213.0
3,B,6817,1092.0
4,P,6817,313.0
5,C,7178,170.0
6,P,7376,343.0
7,C,7795,288.0
8,P,8106,746.0
9,C,8962,134.0
10,P,9125,133.0
11,B,9798,540.0
12,C,9798,218.0
13,P,10244,284.0
14,C,10703,302.0
15,P,11100,18433.0
16,B,35006,5396.0
17,P,35006,2842.0
18,B,43726,5878.0
19,C,43726,13495.0
20,B,61446,3917.0
21,P,61446,1909.0
22,C,63521,10764.0
23,P,74703,3797.0
24,C,78591,22095.0
25,B,102243,850.0
26,C,102243,2694.0
27,B,106779,1842.0
28,C,106779,4728.0
29,B,117687,6117.0
30,C,117687,2129.0
31,B,120705,889.0
32,C,120705,4312.0
33,B,127860,2776.0
34,C,127860,4986.0
35,B,138613,5767.0
36,C,138613,14316.0
37,B,154653,1280.0
38,C,154653,20552.0
39,B,180414,4414.0
40,C,180414,2847.0
41,B,189172,5911.0
42,C,189172,15716.0
43,P,205282,2803.0
44,B,210603,2319.0
45,P,210603,1574.0
46,C,212268,3581.0
47,B,218435,2586.0
48,P,218435,1026.0
49,B,220210,749.0
50,P,220210,2341.0
51,B,223083,532.0
52,P,223083,2500.0
53,C,225717,14618.0
54,B,249702,9367.0
55,C,249702,5943.0
56,B,256053,300.0
57,C,256053,8812.0
58,B,265417,302.0
59,C,265417,4799.0
