,category,start,length
0,B,5217,5217.0
1,C1,5217,146.0
2,P,5512,213.0
3,B,6817,1092.0
4,P,6817,313.0
5,C1,7178,170.0
6,P,7376,343.0
7,C1,7795,288.0
8,P,8106,746.0
9,C1,8962,134.0
10,P,9125,133.0
11,B,9798,540.0
12,C2,9798,218.0
13,P,10244,284.0
14,C2,10703,302.0
15,P,11100,18433.0
16,B,35006,5396.0
17,P,35006,2842.0
18,B,43726,5878.0
19,C2,43726,4809.0
20,C1,48609,1712.0
21,C2,50396,1790.0
22,C1,52261,1082.0
23,C2,53427,4102.0
24,B,61446,3917.0
25,P,61446,1909.0
26,C2,63521,2890.0
27,C1,66522,338.0
28,C2,66933,7536.0
29,P,74703,3797.0
30,C2,78591,22095.0
31,B,102243,850.0
32,C2,102243,2694.0
33,B,106779,1842.0
34,C2,106779,4728.0
35,B,117687,6117.0
36,C2,117687,2129.0
37,B,120705,889.0
38,C1,120705,2093.0
39,C2,122865,2219.0
40,B,127860,2776.0
41,C2,127860,4986.0
42,B,138613,5767.0
43,C2,138613,4078.0
44,C1,142798,792.0
45,C2,143714,5243.0
46,C1,149170,4203.0
47,B,154653,1280.0
48,C2,154653,4014.0
49,C1,158787,3070.0
50,C2,162031,12170.0
51,C1,174702,1298.0
52,B,180414,4414.0
53,C2,180414,2847.0
54,B,189172,5911.0
55,C2,189172,15716.0
56,P,205282,2803.0
57,B,210603,2319.0
58,P,210603,1574.0
59,C2,212268,3581.0
60,B,218435,2586.0
61,P,218435,1026.0
62,B,220210,749.0
63,P,220210,2341.0
64,B,223083,532.0
65,P,223083,2500.0
66,C2,225717,14618.0
67,B,249702,9367.0
68,C2,249702,5943.0
69,B,256053,300.0
70,C2,256053,8812.0
71,B,265417,302.0
72,C2,265417,4799.0
