,0,1
0,B,1402.0
1,C,5142.0
2,B,3841.0
3,C,6756.0
4,B,2724.0
5,C,1405.0
6,B,1291.0
7,C,2937.0
8,B,890.0
9,C,3140.0
10,P,1034.0
11,B,761.0
12,C,444.0
13,B,3316.0
14,C,485.0
15,B,2100.0
16,C,403.0
17,B,2139.0
18,C,351.0
19,B,1116.0
20,P,1008.0
21,C,1312.0
22,B,4609.0
23,P,355.0
24,B,1193.0
25,C,655.0
26,B,738.0
27,C,2448.0
28,B,309.0
29,C,1100.0
30,B,2874.0
31,C,4912.0
32,B,1079.0
33,C,732.0
34,B,2221.0
35,C,6362.0
36,B,2160.0
37,P,564.0
38,B,9851.0
39,C,4581.0
40,B,2055.0
41,C,968.0
42,B,1637.0
43,C,2949.0
44,B,436.0
45,P,135.0
46,B,3834.0
47,C,959.0
48,B,2385.0
49,C,2118.0
50,B,3477.0
51,C,534.0
52,B,1640.0
53,C,1831.0
54,B,3628.0
55,C,305.0
56,B,1324.0
57,C,327.0
58,B,6519.0
59,C,541.0
60,B,5359.0
61,C,338.0
62,B,3436.0
63,C,416.0
64,B,7030.0
65,P,379.0
66,B,4241.0
67,C,1174.0
68,B,3619.0
69,C,1319.0
70,B,2498.0
71,P,103.0
72,B,944.0
73,C,87.0
74,B,1012.0
75,C,302.0
76,B,552.0
77,C,241.0
78,B,2536.0
79,C,1305.0
80,B,3183.0
81,C,89.0
82,B,1399.0
83,C,509.0
84,B,3654.0
85,C,1097.0
86,B,315.0
87,C,2306.0
