,category,start,length
0,B,1854,1854.0
1,C,1854,779.0
2,B,11202,8569.0
3,C,11202,2951.0
4,B,17028,2875.0
5,C,17028,1633.0
6,B,25746,7085.0
7,P,25746,481.0
8,B,27169,942.0
9,C,27169,2437.0
10,B,30055,449.0
11,C,30055,313.0
12,B,32018,1519.0
13,C,32018,1523.0
14,B,34866,1325.0
15,C,34866,3523.0
16,B,52042,13653.0
17,C,52042,1622.0
18,B,55777,2113.0
19,C,55777,2746.0
20,B,65412,6829.0
21,C,65412,6307.0
22,B,83329,11472.0
23,P,83329,1884.0
24,B,85529,316.0
25,C,85529,1186.0
26,B,89001,2286.0
27,C,89001,1074.0
28,B,93951,3806.0
29,C,93951,1236.0
30,B,95876,689.0
31,C,95876,4936.0
32,P,101865,809.0
33,C,102749,3485.0
34,B,106774,422.0
35,C,106774,18047.0
36,P,126875,613.0
37,C,127543,7427.0
38,B,137539,1736.0
39,C,137539,2802.0
40,B,141960,1356.0
41,C,141960,2044.0
42,B,144330,326.0
43,C,144330,5788.0
44,B,153027,2337.0
45,C,153027,4647.0
46,B,158339,309.0
47,C,158339,11590.0
48,B,172758,2295.0
49,C,172758,1129.0
50,B,174271,384.0
51,C,174271,5123.0
