,category,start,length
0,B,4801,4801.0
1,C1,4801,7556.0
2,B,13594,964.0
3,C1,13594,5957.0
4,B,21905,1947.0
5,C1,21905,3477.0
6,B,25776,394.0
7,C2,25776,1935.0
8,C1,27948,3831.0
9,C2,32035,456.0
10,C1,32536,5527.0
11,B,39246,1128.0
12,C1,39246,4465.0
13,B,45283,1429.0
14,C1,45283,1204.0
15,B,47385,898.0
16,C1,47385,4138.0
17,C2,51819,1263.0
18,C1,53187,9744.0
19,C2,63460,2499.0
20,C1,66009,8292.0
21,B,76113,1740.0
22,C1,76113,18883.0
23,B,97231,1456.0
24,C1,97231,5877.0
25,B,104650,1378.0
26,C1,104650,855.0
27,C2,105733,1285.0
28,B,108462,1444.0
29,C1,108462,3360.0
30,C2,112054,279.0
31,B,114090,1733.0
32,C1,114090,1544.0
33,C2,115704,648.0
34,C1,116410,7596.0
35,B,125482,1345.0
36,C1,125482,32367.0
37,B,162404,2938.0
38,C1,162404,2473.0
39,B,166925,1938.0
40,C1,166925,2026.0
41,P,169279,251.0
42,C1,169553,285.0
43,B,171232,1362.0
44,C1,171232,5491.0
45,B,178186,1158.0
46,C1,178186,1870.0
