,0,1
0,B,1854.0
1,C2,779.0
2,B,8569.0
3,C1,2951.0
4,B,2875.0
5,C1,1633.0
6,B,7085.0
7,P,481.0
8,B,942.0
9,C1,2437.0
10,B,449.0
11,C2,313.0
12,B,1519.0
13,C1,1523.0
14,B,1325.0
15,C1,3523.0
16,B,13653.0
17,C2,1622.0
18,B,2113.0
19,C1,2746.0
20,B,6829.0
21,C1,6307.0
22,B,11472.0
23,P,1884.0
24,B,316.0
25,C2,1186.0
26,B,2286.0
27,C1,1074.0
28,B,3806.0
29,C1,1236.0
30,B,689.0
31,C1,2467.0
32,C2,367.0
33,C1,2102.0
34,P,809.0
35,C1,3485.0
36,B,422.0
37,C1,1558.0
38,C2,186.0
39,C1,16303.0
40,P,613.0
41,C1,5203.0
42,C2,678.0
43,C1,752.0
44,C2,794.0
45,B,1736.0
46,C1,2802.0
47,B,1356.0
48,C2,2044.0
49,B,326.0
50,C2,969.0
51,C1,2232.0
52,C2,2587.0
53,B,2337.0
54,C1,4647.0
55,B,309.0
56,C1,5844.0
57,C2,2136.0
58,C1,3610.0
59,B,2295.0
60,C1,1129.0
61,B,384.0
62,C1,5123.0
