,category,start,length
0,P,292,993.0
1,C,1320,13461.0
2,B,15430,320.0
3,P,15430,8245.0
4,B,24060,385.0
5,C,24060,293.0
6,B,28982,4605.0
7,C,28982,11185.0
8,B,44927,4703.0
9,C,44927,1359.0
10,B,48935,2649.0
11,C,48935,35711.0
12,B,86118,458.0
13,C,86118,3038.0
14,B,89489,333.0
15,C,89489,3754.0
16,B,95721,2375.0
17,C,95721,9932.0
18,B,110620,4666.0
19,C,110620,1516.0
20,B,115218,3039.0
21,P,115218,2429.0
22,B,122590,4943.0
23,C,122590,410.0
24,B,140758,17708.0
25,C,140758,219.0
26,P,141009,2478.0
27,B,148515,5028.0
28,C,148515,812.0
29,B,154499,5172.0
30,C,154499,1046.0
31,B,160109,4564.0
32,C,160109,3580.0
33,B,166196,2327.0
34,C,166196,9136.0
35,B,177234,1492.0
36,C,177234,2310.0
