,category,start,length
0,B,2643,2643.0
1,P,2643,853.0
2,B,5128,1632.0
3,C,5128,506.0
4,P,5876,4739.0
5,C,10783,15517.0
6,B,28129,1390.0
7,C,28129,20588.0
8,B,55651,5522.0
9,C,55651,4967.0
10,B,62668,1899.0
11,C,62668,1651.0
12,B,67786,3467.0
13,C,67786,14588.0
14,B,90437,7513.0
15,C,90437,7551.0
16,B,98597,437.0
17,C,98597,3179.0
18,B,105380,3604.0
19,C,105380,21460.0
20,B,128106,456.0
21,C,128106,2661.0
22,B,158766,27922.0
23,C,158766,3335.0
24,B,164469,2234.0
25,C,164469,2412.0
26,B,169268,2387.0
27,P,169268,708.0
28,B,171324,1348.0
29,C,171324,3172.0
30,B,175009,513.0
31,C,175009,4140.0
