,0,1
0,B,751.0
1,P,2887.0
2,C1,117.0
3,C2,9656.0
4,B,330.0
5,C2,9385.0
6,B,507.0
7,C1,2292.0
8,P,234.0
9,B,1499.0
10,C1,299.0
11,B,5595.0
12,C2,4568.0
13,C1,11476.0
14,B,9064.0
15,C1,8048.0
16,B,4290.0
17,C1,103.0
18,C2,8611.0
19,B,890.0
20,C1,3466.0
21,B,4399.0
22,C2,187.0
23,B,9070.0
24,C1,1074.0
25,B,1810.0
26,C1,196.0
27,B,10039.0
28,C1,982.0
29,C2,382.0
30,C1,6810.0
31,B,1650.0
32,C1,4783.0
33,B,422.0
34,C1,10968.0
35,C2,296.0
36,C1,28110.0
37,C2,4307.0
38,C1,254.0
39,B,3819.0
40,C2,3250.0
