,category,start,length
0,P,292,993.0
1,C2,1320,7589.0
2,C1,9088,5872.0
3,B,15430,320.0
4,P,15430,8245.0
5,B,24060,385.0
6,C1,24060,293.0
7,B,28982,4605.0
8,C1,28982,11185.0
9,B,44927,4703.0
10,C1,44927,1359.0
11,B,48935,2649.0
12,C1,48935,35711.0
13,B,86118,458.0
14,C1,86118,3038.0
15,B,89489,333.0
16,C1,89489,3754.0
17,B,95721,2375.0
18,C1,95721,9932.0
19,B,110620,4666.0
20,C1,110620,318.0
21,C2,110981,1198.0
22,B,115218,3039.0
23,P,115218,2429.0
24,B,122590,4943.0
25,C1,122590,410.0
26,B,140758,17708.0
27,C1,140758,219.0
28,P,141009,2478.0
29,B,148515,5028.0
30,C1,148515,812.0
31,B,154499,5172.0
32,C1,154499,1046.0
33,B,160109,4564.0
34,C1,160109,3580.0
35,B,166196,2327.0
36,C1,166196,9136.0
37,B,177234,1492.0
38,C1,177234,2310.0
