,0,1
0,B,2354.0
1,C2,1936.0
2,C1,22169.0
3,B,3617.0
4,C1,1760.0
5,B,2018.0
6,C1,1001.0
7,B,5038.0
8,C1,4320.0
9,C2,114.0
10,C1,4199.0
11,B,475.0
12,C1,204.0
13,B,1351.0
14,C1,8412.0
15,B,1695.0
16,C1,3422.0
17,C2,2901.0
18,C1,168.0
19,C2,1330.0
20,C1,1362.0
21,C2,877.0
22,C1,1955.0
23,C2,362.0
24,C1,120.0
25,C2,1253.0
26,C1,2053.0
27,C2,4933.0
28,P,330.0
29,B,366.0
30,P,203.0
31,B,1907.0
32,C1,1154.0
33,C2,302.0
34,B,7809.0
35,C1,56.0
36,P,51.0
37,C2,108.0
38,B,4232.0
39,C2,2006.0
40,B,11303.0
41,C1,7767.0
42,C2,4638.0
43,C1,3077.0
44,B,1247.0
45,C1,1376.0
46,B,3229.0
47,C1,4606.0
48,C2,791.0
49,C1,2649.0
50,C2,320.0
51,B,1491.0
52,C1,11960.0
53,C2,9790.0
54,C1,11969.0
