,category,start,length
0,B,1023,1023.0
1,C2,1023,722.0
2,C1,1818,846.0
3,C2,2703,451.0
4,B,8441,5287.0
5,C1,8441,8644.0
6,B,17530,339.0
7,C1,17530,12349.0
8,B,36087,6005.0
9,C1,36087,2583.0
10,B,57215,18545.0
11,P,57215,1697.0
12,C1,59016,2594.0
13,B,73901,12222.0
14,P,73901,1918.0
15,C1,75902,16409.0
16,C2,93063,2568.0
17,C1,95716,3151.0
18,B,113311,14444.0
19,C1,113311,1926.0
20,B,117185,1948.0
21,P,117185,580.0
22,C1,117823,24077.0
23,B,143710,859.0
24,C1,143710,16055.0
25,B,162789,2638.0
26,C1,162789,1901.0
27,B,172605,7915.0
28,C1,172605,1542.0
29,B,175123,894.0
30,P,175123,601.0
