,category,start,length
0,C,109,61.0
1,B,671,501.0
2,P,671,308.0
3,B,1453,474.0
4,P,1453,1998.0
5,B,3761,310.0
6,P,3761,2708.0
7,C,6528,78.0
8,B,9574,2968.0
9,P,9574,1418.0
10,B,11417,425.0
11,C,11417,58.0
12,P,11499,2005.0
13,B,15800,2296.0
14,C,15800,156.0
15,B,16294,338.0
16,C,16294,2908.0
17,P,19451,3493.0
18,C,23063,574.0
19,P,23717,2682.0
20,B,26901,502.0
21,C,26901,3119.0
22,B,32258,1968.0
23,C,32258,2911.0
24,P,35292,1163.0
25,C,36745,1128.0
26,P,37988,1140.0
27,B,40494,1366.0
28,C,40494,346.0
29,B,41733,645.0
30,C,41733,1671.0
31,B,43797,393.0
32,C,43797,3192.0
33,B,47351,362.0
34,C,47351,2468.0
35,B,52538,2719.0
36,C,52538,16142.0
37,P,69553,327.0
38,B,72061,2181.0
39,C,72061,167.0
40,B,73246,1018.0
41,C,73246,5931.0
42,B,83258,3886.0
43,C,83258,242.0
44,B,85652,2152.0
45,P,85652,1878.0
46,B,87881,351.0
47,C,87881,8115.0
48,B,101479,5215.0
49,C,101479,755.0
50,B,104708,2411.0
51,C,104708,1144.0
52,B,107620,1768.0
53,C,107620,793.0
54,B,113162,4749.0
55,C,113162,2173.0
56,B,119017,3588.0
57,C,119017,2005.0
58,B,126167,5084.0
59,C,126167,1484.0
60,B,130707,3019.0
61,C,130707,3723.0
62,B,139307,4662.0
63,C,139307,1128.0
64,B,143676,3241.0
65,C,143676,623.0
66,P,144582,698.0
67,B,164226,18946.0
68,C,164226,568.0
69,B,165662,868.0
70,C,165662,2604.0
71,P,168521,1081.0
72,B,175415,5813.0
73,C,175415,804.0
74,B,178048,1829.0
75,C,178048,1793.0
