,0,1
0,B,411.0
1,P,274.0
2,C,127.0
3,P,286.0
4,C,27.0
5,P,807.0
6,C,264.0
7,P,4785.0
8,C,278.0
9,P,197.0
10,B,334.0
11,P,12164.0
12,C,134.0
13,P,5629.0
14,C,130.0
15,P,1916.0
16,C,294.0
17,P,448.0
18,B,414.0
19,P,3304.0
20,C,174.0
21,P,842.0
22,C,122.0
23,P,2120.0
24,C,222.0
25,P,1323.0
26,C,978.0
27,P,339.0
28,C,258.0
29,P,177.0
30,C,137.0
31,P,3855.0
32,C,307.0
33,P,3556.0
34,C,2251.0
35,P,441.0
36,C,886.0
37,P,167.0
38,B,685.0
39,C,1603.0
40,P,328.0
41,C,1111.0
42,P,1631.0
43,C,1735.0
44,P,306.0
45,C,2462.0
46,P,365.0
47,C,1221.0
48,P,5327.0
49,C,444.0
50,P,1279.0
51,C,713.0
52,P,183.0
53,C,181.0
54,P,622.0
55,C,550.0
56,P,151.0
57,C,214.0
58,P,205.0
59,C,1068.0
60,P,429.0
61,C,1583.0
62,P,346.0
63,C,73.0
64,P,1522.0
65,C,103.0
66,P,134.0
67,C,271.0
68,P,133.0
69,C,184.0
70,P,281.0
71,C,173.0
72,P,214.0
73,C,496.0
74,P,186.0
75,C,2076.0
76,P,232.0
77,C,4700.0
78,P,180.0
79,C,3358.0
80,B,434.0
81,C,1662.0
82,B,1320.0
83,P,1027.0
84,C,4899.0
85,P,156.0
86,C,3451.0
87,B,760.0
88,P,1554.0
89,C,155.0
90,P,225.0
91,C,2102.0
92,P,1932.0
93,C,167.0
94,P,602.0
95,C,621.0
96,B,2566.0
97,C,314.0
98,P,455.0
99,B,1538.0
100,C,474.0
101,P,557.0
102,B,430.0
103,P,2216.0
104,C,716.0
105,B,1091.0
106,C,1726.0
107,P,224.0
108,C,1641.0
109,P,151.0
110,C,1363.0
111,B,1151.0
112,C,180.0
113,P,460.0
114,C,4093.0
115,B,496.0
116,P,1176.0
117,C,1331.0
118,P,475.0
119,C,1364.0
120,B,2000.0
121,C,357.0
122,P,212.0
123,C,271.0
124,P,341.0
125,C,249.0
126,P,484.0
127,C,2806.0
128,P,2079.0
129,C,2599.0
130,P,425.0
131,C,3774.0
132,P,150.0
133,B,414.0
134,P,546.0
135,C,106.0
136,P,1201.0
137,C,101.0
138,P,274.0
139,C,335.0
140,P,1023.0
141,C,1614.0
