,0,1
0,C1,97.0
1,C2,104.0
2,P,51.0
3,B,609.0
4,P,69.0
5,B,528.0
6,P,4473.0
7,C1,175.0
8,P,1138.0
9,C2,1155.0
10,P,2422.0
11,C2,1246.0
12,B,472.0
13,P,1249.0
14,B,541.0
15,P,1875.0
16,C2,1755.0
17,B,377.0
18,P,3273.0
19,C2,1125.0
20,C1,147.0
21,P,1922.0
22,B,1369.0
23,P,765.0
24,B,1193.0
25,C2,1834.0
26,C1,95.0
27,P,146.0
28,C2,2380.0
29,C1,221.0
30,C2,2203.0
31,P,2074.0
32,C2,2464.0
33,C1,260.0
34,B,2783.0
35,C2,762.0
36,B,4581.0
37,C2,1482.0
38,P,1963.0
39,B,352.0
40,C1,1361.0
41,B,9437.0
42,C1,2366.0
43,B,654.0
44,C1,206.0
45,P,866.0
46,B,1111.0
47,C2,1412.0
48,B,5515.0
49,C1,1810.0
50,B,322.0
51,P,2421.0
52,C1,104.0
53,C2,1078.0
54,B,5186.0
55,C2,940.0
56,B,5385.0
57,C1,155.0
58,B,42514.0
59,C2,1000.0
60,B,2155.0
61,C1,787.0
62,B,4022.0
63,C1,1634.0
64,B,335.0
65,P,1111.0
66,B,4940.0
67,P,918.0
68,B,2923.0
69,P,475.0
70,B,2196.0
71,C2,1581.0
72,C1,2705.0
