,category,start,length
0,B,431,431.0
1,P,431,151.0
2,C1,749,1464.0
3,B,3923,1710.0
4,C1,3923,607.0
5,B,4903,373.0
6,P,4903,3146.0
7,C2,8249,1213.0
8,B,11340,1878.0
9,P,11340,5041.0
10,C1,16484,1222.0
11,B,26767,9061.0
12,C1,26767,4312.0
13,B,36177,5098.0
14,P,36177,1290.0
15,B,43970,6503.0
16,C1,43970,2778.0
17,B,48675,1927.0
18,C1,48675,1023.0
19,B,60480,10782.0
20,C1,60480,1224.0
21,C2,61819,1493.0
22,B,70931,7619.0
23,C1,70931,3992.0
24,B,76806,1720.0
25,C1,76806,6666.0
26,B,90994,7491.0
27,C1,90994,1383.0
28,B,94645,2268.0
29,C2,94645,216.0
30,C1,94919,790.0
31,B,104436,8727.0
32,C1,104436,208.0
33,B,106124,1480.0
34,C1,106124,567.0
35,B,111960,5269.0
36,C1,111960,3479.0
37,B,121720,6281.0
38,C1,121720,2131.0
39,B,134558,10643.0
40,P,134558,1991.0
41,C1,136608,8572.0
42,C2,145714,3076.0
43,B,151547,2757.0
44,C2,151547,1534.0
45,B,153396,315.0
46,C1,153396,1765.0
47,B,157167,2006.0
48,C1,157167,2685.0
49,B,160184,332.0
50,C1,160184,6005.0
51,C2,166281,1980.0
52,C1,168354,7154.0
