,0,1
0,B,1840.0
1,P,977.0
2,B,409.0
3,P,1333.0
4,C,130.0
5,B,2175.0
6,C,128.0
7,P,560.0
8,C,87.0
9,P,262.0
10,C,218.0
11,P,227.0
12,C,141.0
13,B,328.0
14,P,801.0
15,B,412.0
16,P,305.0
17,C,155.0
18,P,462.0
19,C,140.0
20,P,3317.0
21,B,713.0
22,P,2397.0
23,B,366.0
24,P,2667.0
25,B,760.0
26,P,6259.0
27,B,1667.0
28,P,2247.0
29,B,2241.0
30,C,2723.0
31,P,1525.0
32,B,907.0
33,P,199.0
34,C,534.0
35,P,10522.0
36,C,612.0
37,B,395.0
38,P,5938.0
39,B,2324.0
40,C,2696.0
41,P,813.0
42,B,4161.0
43,C,2223.0
44,P,6508.0
45,C,3608.0
46,P,840.0
47,B,1490.0
48,C,3635.0
49,P,3249.0
50,B,7014.0
51,C,3583.0
52,B,843.0
53,C,389.0
54,B,852.0
55,P,6714.0
56,B,3546.0
57,C,1834.0
58,B,2172.0
59,C,1125.0
60,B,2120.0
61,C,1584.0
62,B,3869.0
63,P,7596.0
64,C,2046.0
65,B,2361.0
66,P,2810.0
67,B,2785.0
68,P,497.0
69,B,2597.0
70,C,4666.0
71,P,1450.0
72,B,2348.0
73,C,3468.0
74,P,2614.0
75,B,5518.0
76,C,1506.0
77,P,1993.0
78,B,5002.0
79,C,371.0
80,P,9192.0
81,B,330.0
82,P,895.0
83,B,4948.0
84,P,2720.0
85,C,850.0
86,B,1024.0
87,C,4620.0
88,P,151.0
89,B,339.0
90,P,2501.0
91,B,2103.0
92,P,1905.0
93,B,648.0
94,P,2654.0
95,B,7434.0
96,C,1809.0
97,P,390.0
98,B,1047.0
99,P,569.0
100,C,5962.0
101,P,1538.0
102,C,2447.0
103,P,2188.0
104,B,3953.0
105,P,1069.0
106,B,1926.0
107,C,1679.0
108,P,2049.0
109,B,4712.0
110,P,3025.0
111,B,5476.0
112,C,213.0
113,P,145.0
114,C,51.0
115,P,80.0
116,B,1294.0
117,P,926.0
118,B,597.0
119,P,127.0
120,B,543.0
121,P,523.0
122,C,137.0
123,P,830.0
