,category,start,length
0,B,1840,1840.0
1,P,1840,977.0
2,B,3392,409.0
3,P,3392,1333.0
4,C1,4978,130.0
5,B,7283,2175.0
6,C2,7283,48.0
7,C1,7356,80.0
8,P,7463,560.0
9,C2,8093,87.0
10,P,8207,262.0
11,C2,8524,218.0
12,P,9052,227.0
13,C2,9335,141.0
14,B,9804,328.0
15,P,9804,801.0
16,B,11093,412.0
17,P,11093,305.0
18,C1,11423,155.0
19,P,11649,462.0
20,C2,12545,140.0
21,P,12720,3317.0
22,B,17477,713.0
23,P,17477,2397.0
24,B,20442,366.0
25,P,20442,2667.0
26,B,23990,760.0
27,P,23990,6259.0
28,B,32142,1667.0
29,P,32142,2247.0
30,B,36782,2241.0
31,C2,36782,2723.0
32,P,39651,1525.0
33,B,42210,907.0
34,P,42210,199.0
35,C2,42448,534.0
36,P,43052,10522.0
37,C1,54034,612.0
38,B,55041,395.0
39,P,55041,5938.0
40,B,63547,2324.0
41,C2,63547,2696.0
42,P,66344,813.0
43,B,71318,4161.0
44,C1,71318,2223.0
45,P,73725,6508.0
46,C1,80589,3608.0
47,P,84376,840.0
48,B,86706,1490.0
49,C2,86706,3635.0
50,P,90461,3249.0
51,B,100857,7014.0
52,C1,100857,3583.0
53,B,105283,843.0
54,C2,105283,389.0
55,B,106524,852.0
56,P,106524,6714.0
57,B,116784,3546.0
58,C2,116784,1834.0
59,B,120790,2172.0
60,C2,120790,1125.0
61,B,124035,2120.0
62,C2,124035,1584.0
63,B,129488,3869.0
64,P,129488,7596.0
65,C2,137375,2046.0
66,B,141782,2361.0
67,P,141782,2810.0
68,B,147579,2785.0
69,P,147579,497.0
70,B,150673,2597.0
71,C2,150673,4666.0
72,P,155632,1450.0
73,B,159430,2348.0
74,C1,159430,3468.0
75,P,162967,2614.0
76,B,171197,5518.0
77,C1,171197,1506.0
78,P,172778,1993.0
79,B,179773,5002.0
80,C2,179773,371.0
81,P,180254,9192.0
82,B,190284,330.0
83,P,190284,895.0
84,B,196184,4948.0
85,P,196184,2720.0
86,C1,199037,850.0
87,B,200911,1024.0
88,C2,200911,3074.0
89,C1,204167,1546.0
90,P,205845,151.0
91,B,206335,339.0
92,P,206335,2501.0
93,B,210939,2103.0
94,P,210939,1905.0
95,B,213556,648.0
96,P,213556,2654.0
97,B,223730,7434.0
98,C1,223730,1809.0
99,P,225655,390.0
100,B,227092,1047.0
101,P,227092,569.0
102,C1,227729,3315.0
103,C2,231107,2647.0
104,P,233915,1538.0
105,C2,235546,2447.0
106,P,238182,2188.0
107,B,244372,3953.0
108,P,244372,1069.0
109,B,247367,1926.0
110,C2,247367,1679.0
111,P,249113,2049.0
112,B,255874,4712.0
113,P,255874,3025.0
114,B,264492,5476.0
115,C1,264492,144.0
116,C2,264661,69.0
117,P,264755,145.0
118,C1,264927,51.0
119,P,264992,80.0
120,B,266366,1294.0
121,P,266366,926.0
122,B,267921,597.0
123,P,267921,127.0
124,B,268591,543.0
125,P,268591,523.0
126,C2,269177,137.0
127,P,269344,830.0
