,0,1
0,B,1670.0
1,P,669.0
2,C2,212.0
3,B,1549.0
4,P,907.0
5,C1,322.0
6,C2,294.0
7,C1,186.0
8,P,273.0
9,C1,396.0
10,B,476.0
11,P,1411.0
12,B,439.0
13,P,1886.0
14,B,835.0
15,P,759.0
16,B,2510.0
17,P,2232.0
18,B,6553.0
19,C2,1223.0
20,C1,1466.0
21,C2,163.0
22,B,3157.0
23,P,2779.0
24,B,902.0
25,P,5540.0
26,B,894.0
27,C2,994.0
28,B,11210.0
29,P,223.0
30,B,2277.0
31,C2,2369.0
32,B,11357.0
33,C1,2144.0
34,B,3786.0
35,C1,5077.0
36,B,23500.0
37,P,2708.0
38,B,10194.0
39,C2,4282.0
40,B,6191.0
41,C1,1937.0
42,B,11387.0
43,C1,5682.0
44,B,7231.0
45,C1,1204.0
46,B,4780.0
47,C1,2044.0
48,B,1727.0
49,C1,1152.0
50,B,6479.0
51,C1,1693.0
52,B,6479.0
53,C2,2402.0
54,B,1607.0
55,C1,352.0
56,B,2317.0
57,C1,6177.0
58,B,13695.0
59,P,4265.0
60,B,8838.0
61,C1,2837.0
62,B,7241.0
63,P,1362.0
64,B,3066.0
65,P,379.0
66,B,578.0
67,P,591.0
68,C1,571.0
69,B,6345.0
70,C2,593.0
71,B,13111.0
72,C1,372.0
73,P,558.0
74,B,5902.0
75,P,515.0
76,B,5531.0
77,C1,754.0
78,C2,750.0
