,0,1
0,B,2076.0
1,P,2874.0
2,C,40.0
3,P,630.0
4,C,112.0
5,P,441.0
6,C,37.0
7,P,290.0
8,C,68.0
9,P,119.0
10,C,69.0
11,P,2263.0
12,C,51.0
13,P,2023.0
14,B,825.0
15,P,1531.0
16,B,939.0
17,P,4553.0
18,B,421.0
19,C,206.0
20,P,134.0
21,B,3866.0
22,C,315.0
23,P,2798.0
24,B,1841.0
25,C,1276.0
26,P,957.0
27,B,2237.0
28,P,1169.0
29,B,1349.0
30,P,599.0
31,B,1176.0
32,C,772.0
33,P,529.0
34,B,2050.0
35,P,1187.0
36,B,2986.0
37,C,545.0
38,B,543.0
39,P,755.0
40,B,1851.0
41,P,1634.0
42,B,2008.0
43,P,1356.0
44,B,1180.0
45,C,1152.0
46,B,1375.0
47,P,938.0
48,B,908.0
49,P,245.0
50,B,1779.0
51,P,961.0
52,C,476.0
53,B,3665.0
54,P,2331.0
55,B,609.0
56,P,3012.0
57,B,2355.0
58,P,1283.0
59,B,1431.0
60,P,1368.0
61,B,399.0
62,P,3026.0
63,B,893.0
64,P,1405.0
65,B,858.0
66,C,889.0
67,B,4536.0
68,P,795.0
69,B,2851.0
70,P,698.0
71,B,9767.0
72,P,1018.0
73,B,5444.0
74,C,1256.0
75,P,510.0
76,B,2245.0
77,C,78.0
78,P,205.0
79,B,23185.0
80,P,246.0
81,B,10091.0
82,P,1347.0
83,B,3804.0
84,C,1071.0
85,B,24860.0
86,C,1117.0
87,P,1227.0
88,B,3130.0
89,C,617.0
90,B,1001.0
91,C,750.0
92,B,1327.0
93,P,1044.0
94,B,643.0
95,P,563.0
96,B,2045.0
97,P,940.0
98,C,912.0
99,B,2351.0
100,P,687.0
101,C,932.0
102,B,4715.0
103,C,1739.0
104,B,7070.0
105,P,1413.0
106,B,11651.0
107,P,618.0
108,B,3094.0
109,P,2343.0
110,B,2115.0
111,C,340.0
112,P,1373.0
113,B,6517.0
114,P,1058.0
115,B,2087.0
116,P,1204.0
