,category,start,length
0,P,98,450.0
1,B,1006,330.0
2,C,1006,58.0
3,P,1081,338.0
4,C,1494,150.0
5,P,1660,183.0
6,C,2162,104.0
7,P,2288,134.0
8,C,2449,21.0
9,P,2483,82.0
10,C,2597,52.0
11,P,2671,703.0
12,C,3512,102.0
13,P,3870,46.0
14,C,3933,33.0
15,P,3984,2400.0
16,B,7435,320.0
17,P,7435,2199.0
18,B,11032,1103.0
19,P,11032,85.0
20,C,11129,45.0
21,P,11192,47.0
22,C,11256,77.0
23,P,11542,103.0
24,C,11677,84.0
25,P,11779,137.0
26,C,11934,56.0
27,P,12009,689.0
28,C,12815,41.0
29,P,12874,892.0
30,C,14133,503.0
31,P,14667,287.0
32,C,15052,275.0
33,P,15387,134.0
34,C,15548,127.0
35,P,15697,1524.0
36,B,17717,418.0
37,P,17717,786.0
38,C,18589,226.0
39,B,21071,2256.0
40,P,21071,425.0
41,B,22046,497.0
42,P,22046,462.0
43,C,22831,105.0
44,P,22976,319.0
45,B,23960,449.0
46,P,23960,3465.0
47,C,27643,1159.0
48,B,29347,519.0
49,P,29347,3392.0
50,C,33126,634.0
51,B,34332,572.0
52,C,34332,2439.0
53,P,36869,723.0
54,B,38367,775.0
55,P,38367,3565.0
56,C,42213,1059.0
57,P,43328,718.0
58,C,44094,533.0
59,P,44657,1578.0
60,C,46330,3266.0
61,P,49814,1721.0
62,C,51750,2983.0
63,P,54838,3704.0
64,B,59218,588.0
65,C,59218,7510.0
66,P,67023,1907.0
67,C,69022,2565.0
68,P,71842,190.0
69,C,72058,179.0
70,B,73560,1301.0
71,P,73560,224.0
72,C,73847,55.0
73,P,73918,841.0
74,C,74985,359.0
75,P,75374,1119.0
76,C,76577,43.0
77,P,76640,830.0
78,B,78291,645.0
79,C,78291,124.0
80,P,78443,3984.0
81,B,83465,532.0
82,P,83465,3787.0
83,B,89981,2729.0
84,P,89981,1696.0
85,B,93364,1687.0
86,C,93364,2045.0
87,B,96206,797.0
88,C,96206,2520.0
89,B,101382,2656.0
90,P,101382,1289.0
91,B,103756,1085.0
92,P,103756,1695.0
93,C,105542,347.0
94,B,107535,1646.0
95,C,107535,1076.0
96,B,110205,1541.0
97,C,110205,339.0
98,P,110579,1786.0
99,C,112401,306.0
100,B,113347,640.0
101,C,113347,495.0
102,B,114413,571.0
103,C,114413,481.0
104,B,115468,574.0
105,C,115468,91.0
106,P,115584,1483.0
107,C,117130,168.0
108,B,117600,302.0
109,P,117600,87.0
110,C,117711,131.0
111,P,117864,489.0
112,B,120653,2265.0
113,C,120653,3089.0
114,B,124370,400.0
115,C,124370,1657.0
116,B,127119,1038.0
117,C,127119,783.0
118,P,128067,603.0
119,C,128711,313.0
120,P,129081,1005.0
121,B,131528,1442.0
122,C,131528,1312.0
123,P,132930,461.0
124,C,133421,278.0
125,P,133774,181.0
126,B,135599,1644.0
127,C,135599,288.0
128,B,136937,1050.0
129,P,136937,1502.0
130,B,139968,1529.0
131,C,139968,2152.0
132,P,142195,710.0
133,C,142993,639.0
134,B,145321,1689.0
135,C,145321,281.0
136,P,145638,568.0
137,B,149637,3431.0
138,C,149637,685.0
139,B,151053,640.0
140,P,151053,223.0
141,C,151384,43.0
142,B,152219,792.0
143,P,152219,1309.0
144,C,154061,137.0
145,P,154259,180.0
146,C,154593,55.0
147,P,154691,893.0
148,B,156442,483.0
149,P,156442,1015.0
150,B,158078,418.0
151,P,158078,593.0
152,B,159269,537.0
153,P,159269,336.0
154,C,159680,426.0
155,P,160129,195.0
156,C,160353,79.0
157,P,160623,262.0
158,C,160933,148.0
159,P,161344,852.0
160,C,162456,211.0
161,P,162735,162.0
162,B,163348,320.0
163,P,163348,755.0
164,B,164959,329.0
165,P,164959,2438.0
166,C,167958,51.0
167,P,168101,1433.0
168,B,171065,950.0
169,C,171065,119.0
170,P,171217,4957.0
171,C,178003,43.0
172,P,178066,55.0
173,C,178144,101.0
174,P,178364,1535.0
175,C,180707,47.0
176,P,180800,2179.0
177,B,184269,675.0
178,P,184269,1625.0
179,C,185955,72.0
180,P,186058,549.0
181,C,186967,42.0
182,P,187023,3962.0
183,B,194493,2238.0
184,P,194493,91.0
185,C,194609,105.0
186,P,194859,2165.0
187,B,198278,391.0
188,P,198278,2272.0
189,C,201380,96.0
190,P,201605,720.0
191,C,202415,43.0
192,P,202481,8286.0
193,C,211981,58.0
194,P,212060,9867.0
195,C,223600,91.0
196,B,224270,579.0
197,P,224270,2851.0
198,B,228618,322.0
199,P,228618,105.0
200,C,228746,63.0
201,P,228839,1338.0
202,C,230748,120.0
203,P,231123,108.0
204,C,231248,57.0
205,P,231321,3561.0
206,B,236069,372.0
207,P,236069,186.0
208,B,237064,809.0
209,P,237064,1513.0
210,C,238730,135.0
211,B,239891,1026.0
212,P,239891,2785.0
213,C,243001,409.0
214,P,243827,272.0
215,B,245063,964.0
216,C,245063,56.0
217,P,245132,1135.0
218,C,246736,38.0
219,P,246893,383.0
220,B,247665,389.0
221,P,247665,393.0
222,C,248126,45.0
223,P,248194,198.0
224,B,248757,365.0
225,P,248757,3460.0
226,B,253697,629.0
227,C,253697,94.0
228,P,253809,473.0
229,C,254478,55.0
230,P,254544,2409.0
231,C,257713,43.0
232,P,257777,2225.0
233,B,261737,984.0
234,C,261737,35.0
235,P,261791,2010.0
236,C,264761,33.0
237,P,264816,1417.0
238,B,267772,854.0
239,P,267772,1484.0
240,C,269447,44.0
241,P,269510,69.0
242,C,269709,54.0
