,category,start,length
0,P,102,724.0
1,B,1390,480.0
2,P,1390,622.0
3,C1,2238,68.0
4,P,2327,2822.0
5,B,5957,596.0
6,C2,5957,1164.0
7,P,7228,2136.0
8,C2,9463,37.0
9,C1,9519,53.0
10,P,9593,7303.0
11,C1,17330,45.0
12,P,17397,51.0
13,B,18676,1228.0
14,P,18676,4789.0
15,C2,23592,98.0
16,P,23708,3421.0
17,B,27923,794.0
18,P,27923,53.0
19,C1,27999,641.0
20,P,28691,1633.0
21,B,31646,1322.0
22,C1,31646,94.0
23,B,32301,561.0
24,P,32301,35.0
25,C1,32353,240.0
26,B,35113,2468.0
27,C2,35113,2813.0
28,C1,37979,133.0
29,P,38158,155.0
30,C2,38433,165.0
31,P,38632,3449.0
32,B,42533,399.0
33,P,42533,87.0
34,C1,42642,45.0
35,P,42705,218.0
36,C1,42945,57.0
37,B,43516,514.0
38,P,43516,155.0
39,C1,43746,175.0
40,B,44573,610.0
41,C1,44573,101.0
42,P,44696,119.0
43,B,45311,496.0
44,C2,45311,170.0
45,P,45509,5030.0
46,C2,50873,2711.0
47,B,60685,7101.0
48,C2,60685,4166.0
49,P,64964,3409.0
50,C2,68603,2946.0
51,B,72733,1184.0
52,P,72733,4001.0
53,C2,77142,3852.0
54,P,81146,6330.0
55,C2,87980,1830.0
56,C1,89920,290.0
57,B,90684,474.0
58,C2,90684,55.0
59,P,90759,161.0
60,B,94009,3089.0
61,P,94009,1016.0
62,C2,95079,2584.0
63,C1,97714,125.0
64,P,97871,2017.0
65,C2,99960,3785.0
66,P,103914,2128.0
67,C2,106135,1162.0
68,P,107363,747.0
69,C2,108159,4058.0
70,B,115472,3122.0
71,C1,115472,286.0
72,P,115780,7413.0
73,B,123774,460.0
74,P,123774,163.0
75,B,125044,1107.0
76,C2,125044,304.0
77,B,126096,748.0
78,C1,126096,82.0
79,P,126222,318.0
80,B,127909,1369.0
81,P,127909,405.0
82,B,133606,5292.0
83,C1,133606,509.0
84,B,138137,4022.0
85,C1,138137,181.0
86,P,138597,2595.0
87,B,143009,1784.0
88,P,143009,1256.0
89,B,144606,309.0
90,C1,144606,713.0
91,C2,145383,79.0
92,B,146381,919.0
93,P,146381,6105.0
94,C2,152610,302.0
95,P,152969,9654.0
96,B,163289,454.0
97,P,163289,400.0
98,C1,163809,134.0
99,B,165239,1296.0
100,P,165239,926.0
101,C1,166245,187.0
102,B,168490,2058.0
103,P,168490,984.0
104,B,170027,553.0
105,C2,170027,348.0
106,C1,170414,840.0
107,B,172742,1488.0
108,P,172742,2512.0
109,B,177059,1805.0
110,P,177059,885.0
111,C2,177992,3694.0
112,P,181747,323.0
113,B,183944,1874.0
114,C2,183944,1465.0
115,P,185489,865.0
116,C2,186587,1613.0
117,B,189870,1670.0
118,P,189870,2067.0
119,B,196416,4479.0
120,P,196416,9140.0
121,B,207639,1777.0
122,C2,207639,352.0
123,P,208032,2032.0
124,B,210686,622.0
125,P,210686,2430.0
126,B,217832,4608.0
127,C1,217832,120.0
128,B,218306,354.0
129,P,218306,172.0
130,C1,218544,243.0
131,B,219384,597.0
132,C1,219384,69.0
133,P,219478,377.0
134,B,220885,1003.0
135,P,220885,219.0
136,C1,221144,68.0
137,P,221235,404.0
138,B,224077,2414.0
139,P,224077,7022.0
140,B,232959,1759.0
141,P,232959,2588.0
142,B,238246,2699.0
143,C2,238246,1735.0
144,C1,240050,224.0
145,B,241396,1122.0
146,P,241396,1454.0
147,C2,242894,177.0
148,P,243099,1751.0
149,B,248017,3167.0
150,P,248017,3676.0
151,C2,251773,1635.0
152,P,253519,853.0
153,B,257561,3189.0
154,C2,257561,2657.0
155,P,260330,4344.0
156,B,265371,568.0
157,C2,265371,156.0
158,P,265565,227.0
