,0,1
0,P,450.0
1,B,330.0
2,C1,58.0
3,P,338.0
4,C1,150.0
5,P,183.0
6,C1,104.0
7,P,134.0
8,C2,21.0
9,P,82.0
10,C2,52.0
11,P,703.0
12,C2,25.0
13,C1,77.0
14,P,46.0
15,C2,33.0
16,P,2400.0
17,B,320.0
18,P,2199.0
19,B,1103.0
20,P,85.0
21,C2,45.0
22,P,47.0
23,C1,77.0
24,P,103.0
25,C1,84.0
26,P,137.0
27,C2,56.0
28,P,689.0
29,C1,41.0
30,P,892.0
31,C1,503.0
32,P,287.0
33,C2,132.0
34,C1,143.0
35,P,134.0
36,C2,127.0
37,P,1524.0
38,B,418.0
39,P,786.0
40,C1,226.0
41,B,2256.0
42,P,425.0
43,B,497.0
44,P,462.0
45,C1,105.0
46,P,319.0
47,B,449.0
48,P,3465.0
49,C2,577.0
50,C1,582.0
51,B,519.0
52,P,3392.0
53,C2,634.0
54,B,572.0
55,C2,2439.0
56,P,723.0
57,B,775.0
58,P,3565.0
59,C2,1059.0
60,P,718.0
61,C2,533.0
62,P,1578.0
63,C1,2284.0
64,C2,982.0
65,P,1721.0
66,C2,2983.0
67,P,3704.0
68,B,588.0
69,C2,7510.0
70,P,1907.0
71,C2,2565.0
72,P,190.0
73,C1,179.0
74,B,1301.0
75,P,224.0
76,C1,55.0
77,P,841.0
78,C1,359.0
79,P,1119.0
80,C1,43.0
81,P,830.0
82,B,645.0
83,C2,124.0
84,P,3984.0
85,B,532.0
86,P,3787.0
87,B,2729.0
88,P,1696.0
89,B,1687.0
90,C2,2045.0
91,B,797.0
92,C2,2520.0
93,B,2656.0
94,P,1289.0
95,B,1085.0
96,P,1695.0
97,C1,347.0
98,B,1646.0
99,C2,1076.0
100,B,1541.0
101,C1,339.0
102,P,1786.0
103,C2,306.0
104,B,640.0
105,C2,495.0
106,B,571.0
107,C2,481.0
108,B,574.0
109,C1,91.0
110,P,1483.0
111,C2,168.0
112,B,302.0
113,P,87.0
114,C2,131.0
115,P,489.0
116,B,2265.0
117,C2,3089.0
118,B,400.0
119,C2,1657.0
120,B,1038.0
121,C2,783.0
122,P,603.0
123,C2,313.0
124,P,1005.0
125,B,1442.0
126,C2,1312.0
127,P,461.0
128,C2,278.0
129,P,181.0
130,B,1644.0
131,C1,288.0
132,B,1050.0
133,P,1502.0
134,B,1529.0
135,C2,2152.0
136,P,710.0
137,C2,639.0
138,B,1689.0
139,C2,281.0
140,P,568.0
141,B,3431.0
142,C2,685.0
143,B,640.0
144,P,223.0
145,C1,43.0
146,B,792.0
147,P,1309.0
148,C2,60.0
149,C1,40.0
150,C2,37.0
151,P,180.0
152,C2,55.0
153,P,893.0
154,B,483.0
155,P,1015.0
156,B,418.0
157,P,593.0
158,B,537.0
159,P,336.0
160,C1,426.0
161,P,195.0
162,C1,79.0
163,P,262.0
164,C2,79.0
165,C1,69.0
166,P,852.0
167,C1,211.0
168,P,162.0
169,B,320.0
170,P,755.0
171,B,329.0
172,P,2438.0
173,C1,51.0
174,P,1433.0
175,B,950.0
176,C1,119.0
177,P,4957.0
178,C1,43.0
179,P,55.0
180,C1,101.0
181,P,1535.0
182,C1,47.0
183,P,2179.0
184,B,675.0
185,P,1625.0
186,C1,72.0
187,P,549.0
188,C1,42.0
189,P,3962.0
190,B,2238.0
191,P,91.0
192,C1,105.0
193,P,2165.0
194,B,391.0
195,P,2272.0
196,C1,96.0
197,P,720.0
198,C1,43.0
199,P,8286.0
200,C1,58.0
201,P,9867.0
202,C1,91.0
203,B,579.0
204,P,2851.0
205,B,322.0
206,P,105.0
207,C1,63.0
208,P,1338.0
209,C1,120.0
210,P,108.0
211,C2,57.0
212,P,3561.0
213,B,372.0
214,P,186.0
215,B,809.0
216,P,1513.0
217,C1,135.0
218,B,1026.0
219,P,2785.0
220,C2,143.0
221,C1,266.0
222,P,272.0
223,B,964.0
224,C1,56.0
225,P,1135.0
226,C2,38.0
227,P,383.0
228,B,389.0
229,P,393.0
230,C2,45.0
231,P,198.0
232,B,365.0
233,P,3460.0
234,B,629.0
235,C2,94.0
236,P,473.0
237,C1,55.0
238,P,2409.0
239,C2,43.0
240,P,2225.0
241,B,984.0
242,C1,35.0
243,P,2010.0
244,C1,33.0
245,P,1417.0
246,B,854.0
247,P,1484.0
248,C1,44.0
249,P,69.0
250,C1,54.0
