,category,start,length
0,P,209,694.0
1,C,1089,38.0
2,P,1140,137.0
3,C,1364,29.0
4,P,1408,223.0
5,B,2009,322.0
6,P,2009,1125.0
7,C,3457,37.0
8,P,3512,107.0
9,C,3642,52.0
10,P,3709,2683.0
11,C,6647,72.0
12,P,6744,244.0
13,C,7286,159.0
14,B,7887,442.0
15,P,7887,11951.0
16,B,20901,677.0
17,P,20901,2036.0
18,C,23041,359.0
19,P,23432,322.0
20,C,24009,356.0
21,B,40938,16573.0
22,P,40938,7010.0
23,B,58863,10915.0
24,C,58863,2196.0
25,B,64113,3054.0
26,C,64113,5995.0
27,P,70258,4745.0
28,C,75115,3986.0
29,P,79214,3868.0
30,C,83182,10807.0
31,B,97867,3755.0
32,P,97867,7335.0
33,B,120213,14913.0
34,C,120213,2836.0
35,B,129222,6173.0
36,C,129222,7383.0
37,B,147131,10448.0
38,P,147131,350.0
39,B,149057,1576.0
40,C,149057,916.0
41,B,157124,7151.0
42,P,157124,3054.0
43,B,165119,4941.0
44,C,165119,3102.0
45,B,168657,436.0
46,P,168657,165.0
47,B,173148,4326.0
48,C,173148,135.0
49,B,176743,3460.0
50,C,176743,929.0
51,B,182802,5130.0
52,C,182802,4242.0
53,B,198382,11270.0
54,P,198382,222.0
55,B,199280,676.0
56,C,199280,10217.0
57,B,210094,522.0
58,P,210094,4977.0
59,C,215182,6854.0
60,B,240788,18686.0
61,C,240788,275.0
62,B,241429,366.0
63,P,241429,4163.0
64,C,245720,2597.0
65,B,249596,1235.0
66,P,249596,2223.0
67,C,251897,79.0
68,B,253861,1885.0
69,P,253861,7787.0
70,B,262375,727.0
71,C,262375,1554.0
