,0,1
0,B,871.0
1,C,51.0
2,P,1500.0
3,C,42.0
4,P,1387.0
5,C,64.0
6,P,1700.0
7,C,86.0
8,P,748.0
9,B,840.0
10,C,512.0
11,B,3951.0
12,C,1381.0
13,P,647.0
14,B,1114.0
15,P,7144.0
16,B,1351.0
17,P,3914.0
18,B,2816.0
19,P,322.0
20,B,2537.0
21,C,5263.0
22,P,206.0
23,B,1125.0
24,P,1086.0
25,B,2944.0
26,C,789.0
27,B,3357.0
28,P,3514.0
29,C,232.0
30,P,454.0
31,B,4920.0
32,P,84.0
33,B,362.0
34,P,342.0
35,B,302.0
36,P,296.0
37,C,263.0
38,P,199.0
39,B,1732.0
40,C,150.0
41,B,3611.0
42,C,496.0
43,P,1076.0
44,B,386.0
45,C,4666.0
46,P,3841.0
47,C,1599.0
48,P,2861.0
49,C,1419.0
50,B,16551.0
51,P,1032.0
52,B,10851.0
53,C,546.0
54,B,16289.0
55,P,6604.0
56,C,9196.0
57,B,7057.0
58,C,785.0
59,B,1132.0
60,P,1847.0
61,C,11961.0
62,B,6845.0
63,C,5019.0
64,B,1976.0
65,P,1362.0
66,B,2275.0
67,C,1510.0
68,B,2636.0
69,C,4435.0
70,B,3276.0
71,P,4961.0
72,C,7085.0
73,B,15050.0
74,C,72.0
75,P,4498.0
76,B,21286.0
77,C,250.0
78,P,2005.0
79,B,3612.0
80,P,649.0
81,B,1584.0
82,P,3250.0
83,B,3339.0
84,C,344.0
85,P,639.0
