,category,start,length
0,C2,249,46.0
1,P,312,2469.0
2,C1,3306,50.0
3,B,4299,943.0
4,P,4299,1064.0
5,B,5839,476.0
6,P,5839,6632.0
7,C1,12888,60.0
8,P,12970,14221.0
9,C1,27396,1301.0
10,P,28750,659.0
11,B,30692,1283.0
12,P,30692,14821.0
13,B,46794,916.0
14,C1,46794,230.0
15,P,47203,423.0
16,B,56089,8463.0
17,C2,56089,17242.0
18,B,74049,578.0
19,C1,74049,3104.0
20,P,77331,5857.0
21,C2,83431,2806.0
22,P,86318,4389.0
23,C2,90801,1536.0
24,B,99123,6786.0
25,C2,99123,207.0
26,B,105699,6369.0
27,C2,105699,4132.0
28,B,115470,5639.0
29,C2,115470,854.0
30,B,141297,24973.0
31,P,141297,1884.0
32,B,156516,13335.0
33,C2,156516,413.0
34,B,181943,25014.0
35,C2,181943,280.0
36,B,198760,16537.0
37,C2,198760,882.0
38,B,218119,18477.0
39,P,218119,1204.0
40,B,230247,10924.0
41,C2,230247,3042.0
42,B,241110,7821.0
43,C2,241110,1074.0
44,B,245164,2980.0
45,C2,245164,155.0
46,P,245349,4478.0
47,C2,250027,6806.0
48,C1,256997,769.0
49,B,258841,1075.0
50,P,258841,1686.0
51,B,265400,4873.0
52,C2,265400,2105.0
