,0,1
0,C,156.0
1,P,1851.0
2,B,643.0
3,P,69.0
4,B,379.0
5,P,869.0
6,C,203.0
7,P,52.0
8,C,60.0
9,P,83.0
10,B,327.0
11,P,124.0
12,B,351.0
13,P,234.0
14,C,105.0
15,P,222.0
16,B,320.0
17,C,90.0
18,B,584.0
19,P,203.0
20,C,137.0
21,P,42.0
22,B,809.0
23,P,317.0
24,C,113.0
25,P,255.0
26,B,316.0
27,P,1012.0
28,C,1119.0
29,P,161.0
30,C,382.0
31,P,155.0
32,C,205.0
33,P,83.0
34,B,853.0
35,C,134.0
36,B,1637.0
37,P,238.0
38,C,1252.0
39,P,443.0
40,C,2317.0
41,B,1295.0
42,C,2279.0
43,P,920.0
44,C,1402.0
45,P,832.0
46,C,3440.0
47,P,1136.0
48,C,3515.0
49,B,746.0
50,P,1500.0
51,C,113.0
52,B,4288.0
53,C,7442.0
54,B,758.0
55,C,15966.0
56,B,4683.0
57,P,223.0
58,B,5188.0
59,C,2247.0
60,B,614.0
61,C,9584.0
62,P,406.0
63,C,1950.0
64,B,1352.0
65,C,10736.0
66,B,5659.0
67,C,8524.0
68,B,1061.0
69,C,8747.0
70,B,1003.0
71,C,18619.0
72,P,585.0
73,C,4630.0
74,B,2516.0
75,C,8844.0
76,P,244.0
77,C,4039.0
78,B,1354.0
79,C,3998.0
80,B,2338.0
81,P,1969.0
82,B,3613.0
83,C,116.0
84,B,1882.0
85,C,3568.0
86,B,1249.0
87,C,8791.0
88,B,978.0
89,C,5470.0
90,B,534.0
91,C,645.0
92,B,444.0
93,C,3118.0
94,B,1302.0
95,C,2694.0
96,B,8796.0
97,C,211.0
98,B,2681.0
99,C,232.0
100,B,8606.0
101,C,295.0
102,B,301.0
103,C,187.0
104,B,14195.0
105,P,176.0
106,B,459.0
107,C,770.0
108,B,499.0
109,C,386.0
110,B,3818.0
111,C,146.0
112,B,581.0
113,C,2303.0
114,P,156.0
115,C,5278.0
116,P,2340.0
