,0,1
0,C2,83.0
1,C1,73.0
2,P,1851.0
3,B,643.0
4,P,69.0
5,B,379.0
6,P,869.0
7,C1,122.0
8,C2,81.0
9,P,52.0
10,C2,60.0
11,P,83.0
12,B,327.0
13,P,124.0
14,B,351.0
15,P,234.0
16,C2,105.0
17,P,222.0
18,B,320.0
19,C2,90.0
20,B,584.0
21,P,203.0
22,C2,137.0
23,P,42.0
24,B,809.0
25,P,317.0
26,C1,113.0
27,P,255.0
28,B,316.0
29,P,1012.0
30,C2,1009.0
31,C1,110.0
32,P,161.0
33,C2,382.0
34,P,155.0
35,C2,205.0
36,P,83.0
37,B,853.0
38,C2,134.0
39,B,1637.0
40,P,238.0
41,C2,1252.0
42,P,443.0
43,C2,2317.0
44,B,1295.0
45,C1,50.0
46,C2,2229.0
47,P,920.0
48,C2,1402.0
49,P,832.0
50,C2,3440.0
51,P,1136.0
52,C1,3515.0
53,B,746.0
54,P,1500.0
55,C1,113.0
56,B,4288.0
57,C1,7286.0
58,C2,156.0
59,B,758.0
60,C2,4393.0
61,C1,8742.0
62,C2,2831.0
63,B,4683.0
64,P,223.0
65,B,5188.0
66,C1,2247.0
67,B,614.0
68,C2,9584.0
69,P,406.0
70,C2,1950.0
71,B,1352.0
72,C1,6712.0
73,C2,1328.0
74,C1,2696.0
75,B,5659.0
76,C2,3832.0
77,C1,4692.0
78,B,1061.0
79,C2,5940.0
80,C1,2807.0
81,B,1003.0
82,C2,1786.0
83,C1,3472.0
84,C2,4517.0
85,C1,8844.0
86,P,585.0
87,C1,1887.0
88,C2,2743.0
89,B,2516.0
90,C1,3027.0
91,C2,2890.0
92,C1,1694.0
93,C2,1233.0
94,P,244.0
95,C2,4039.0
96,B,1354.0
97,C1,2010.0
98,C2,202.0
99,C1,1786.0
100,B,2338.0
101,P,1969.0
102,B,3613.0
103,C1,116.0
104,B,1882.0
105,C1,3364.0
106,C2,204.0
107,B,1249.0
108,C1,2705.0
109,C2,2733.0
110,C1,191.0
111,C2,3162.0
112,B,978.0
113,C1,2403.0
114,C2,3067.0
115,B,534.0
116,C2,645.0
117,B,444.0
118,C1,3118.0
119,B,1302.0
120,C2,2694.0
121,B,8796.0
122,C2,211.0
123,B,2681.0
124,C1,232.0
125,B,8606.0
126,C2,295.0
127,B,301.0
128,C2,187.0
129,B,14195.0
130,P,176.0
131,B,459.0
132,C1,770.0
133,B,499.0
134,C2,386.0
135,B,3818.0
136,C2,146.0
137,B,581.0
138,C1,2303.0
139,P,156.0
140,C2,1274.0
141,C1,4004.0
142,P,2340.0
