,0,1
0,B,335.0
1,C,314.0
2,P,60.0
3,B,603.0
4,C,12664.0
5,B,4776.0
6,C,2149.0
7,B,2437.0
8,C,1511.0
9,B,20670.0
10,C,1090.0
11,B,5544.0
12,C,668.0
13,B,10220.0
14,C,3103.0
15,B,4887.0
16,P,1937.0
17,B,2315.0
18,C,1766.0
19,B,5245.0
20,P,4245.0
21,B,11962.0
22,P,147.0
23,B,6610.0
24,P,3367.0
25,B,3716.0
26,C,396.0
27,B,2538.0
28,P,399.0
29,B,6506.0
30,P,8111.0
31,B,6979.0
32,C,5357.0
33,B,10002.0
34,P,1761.0
35,B,5582.0
36,P,2855.0
37,B,5115.0
38,C,2594.0
39,B,4894.0
40,C,3692.0
41,P,5363.0
42,B,6857.0
43,C,3551.0
44,B,2304.0
45,P,6773.0
46,B,830.0
47,P,2733.0
48,B,5100.0
49,P,505.0
50,B,4613.0
51,C,2909.0
52,P,607.0
53,B,3260.0
54,C,2140.0
55,B,1706.0
56,C,8087.0
57,B,6309.0
58,P,2339.0
59,B,2727.0
60,P,3283.0
61,B,2028.0
62,C,2345.0
63,P,450.0
64,B,3799.0
65,C,3284.0
66,B,1997.0
67,C,2444.0
