,0,1
0,C2,178.0
1,P,122.0
2,C2,499.0
3,B,419.0
4,P,1444.0
5,B,547.0
6,P,26239.0
7,C2,1617.0
8,P,26633.0
9,C2,234.0
10,P,807.0
11,B,412.0
12,P,3203.0
13,C2,189.0
14,P,16592.0
15,B,366.0
16,P,11271.0
17,B,839.0
18,P,16282.0
19,C2,328.0
20,P,2744.0
21,B,465.0
22,P,17859.0
23,B,699.0
24,P,1661.0
25,C2,234.0
26,P,3909.0
27,C2,165.0
28,P,16135.0
29,C2,241.0
30,P,4942.0
31,C1,153.0
32,P,10830.0
33,B,452.0
34,P,1053.0
35,B,907.0
36,P,8000.0
37,B,1447.0
38,P,5878.0
39,C2,102.0
40,P,4856.0
41,C1,126.0
42,P,7573.0
43,B,543.0
44,P,1287.0
45,C2,225.0
46,P,1592.0
47,B,551.0
48,P,642.0
49,B,1119.0
50,P,1225.0
51,B,503.0
52,P,973.0
53,B,391.0
54,P,3765.0
55,B,1046.0
56,P,9549.0
57,B,840.0
58,P,16799.0
59,B,1004.0
60,P,3578.0
