,category,start,length
0,P,133,2934.0
1,B,5511,2258.0
2,P,5511,11959.0
3,C1,17772,106.0
4,C2,17902,232.0
5,P,18190,1211.0
6,B,23722,4187.0
7,P,23722,6632.0
8,B,34262,3537.0
9,P,34262,12456.0
10,B,47878,871.0
11,P,47878,2671.0
12,C2,50635,4931.0
13,P,55654,1237.0
14,B,57569,678.0
15,P,57569,13579.0
16,C2,71567,4953.0
17,P,77097,388.0
18,B,78167,682.0
19,C2,78167,220.0
20,B,78960,573.0
21,P,78960,2221.0
22,B,81681,500.0
23,P,81681,893.0
24,B,82989,415.0
25,P,82989,860.0
26,B,86834,2985.0
27,P,86834,361.0
28,B,90894,3699.0
29,P,90894,643.0
30,B,92378,841.0
31,P,92378,309.0
32,C2,92736,2375.0
33,B,97705,2594.0
34,P,97705,871.0
35,C2,98644,1374.0
36,B,112291,12273.0
37,P,112291,5395.0
38,B,118087,307.0
39,C2,118087,4198.0
40,B,122765,480.0
41,C1,122765,259.0
42,P,123057,678.0
43,B,126184,2449.0
44,P,126184,4659.0
45,C1,130962,161.0
46,P,131156,2036.0
47,C2,133313,426.0
48,C1,133766,3330.0
49,B,137750,654.0
50,P,137750,457.0
51,C1,138262,1264.0
52,B,144695,5169.0
53,P,144695,7072.0
54,B,152631,535.0
55,C1,152631,1418.0
56,B,154529,480.0
57,P,154529,6097.0
58,B,163950,3157.0
59,P,163950,1588.0
60,B,167400,1862.0
61,P,167400,3387.0
62,B,171295,472.0
63,P,171295,1459.0
64,B,173248,494.0
65,P,173248,654.0
66,B,175548,1646.0
67,P,175548,1755.0
68,B,179613,2310.0
69,P,179613,180.0
70,B,180109,316.0
71,P,180109,729.0
72,C2,180888,316.0
73,P,181247,6941.0
74,B,188989,517.0
75,P,188989,6398.0
76,C1,195829,2555.0
77,B,200686,2302.0
78,P,200686,363.0
79,B,203258,2209.0
80,P,203258,1108.0
81,C2,204428,2775.0
82,P,207361,3063.0
83,B,211188,679.0
84,P,211188,3138.0
85,C1,214495,2165.0
86,B,219569,2909.0
87,P,219569,506.0
88,C2,220114,3206.0
89,B,223669,349.0
90,P,223669,1258.0
91,B,227412,2485.0
92,P,227412,1100.0
93,B,231650,3138.0
94,P,231650,3083.0
95,B,235705,890.0
96,P,235705,1249.0
97,B,237302,348.0
98,P,237302,694.0
99,B,241139,3143.0
100,P,241139,6101.0
101,B,247978,611.0
102,P,247978,2712.0
103,C2,250779,244.0
104,P,251079,4311.0
105,B,256326,736.0
106,P,256326,3845.0
107,B,262830,2597.0
108,C1,262830,334.0
109,C2,263209,2402.0
110,B,266199,588.0
111,P,266199,2900.0
