,0,1
0,C,231.0
1,P,87.0
2,B,2231.0
3,P,2387.0
4,B,434.0
5,P,23603.0
6,B,2373.0
7,P,953.0
8,B,2186.0
9,P,530.0
10,B,1912.0
11,P,13916.0
12,B,938.0
13,C,59.0
14,P,372.0
15,B,3710.0
16,P,2323.0
17,B,12294.0
18,P,29880.0
19,C,332.0
20,B,9257.0
21,P,8831.0
22,B,4282.0
23,P,8473.0
24,B,4273.0
25,P,3777.0
26,B,3572.0
27,P,3924.0
28,B,3994.0
29,P,4505.0
30,B,2551.0
31,P,17738.0
32,B,2207.0
33,P,8016.0
34,B,8909.0
35,P,3912.0
36,B,322.0
37,P,7345.0
38,B,3274.0
39,P,267.0
40,B,323.0
41,P,11263.0
42,B,2538.0
43,P,5648.0
44,B,2860.0
45,P,4445.0
46,B,5978.0
47,P,4650.0
48,B,336.0
49,P,8921.0
50,B,8970.0
51,P,203.0
