,category,start,length
0,B,1552,1552.0
1,P,1552,406.0
2,C,2098,54.0
3,P,2169,203.0
4,B,3130,709.0
5,P,3130,643.0
6,C,4205,62.0
7,P,4298,359.0
8,C,4719,107.0
9,P,4963,1238.0
10,C,6688,58.0
11,P,6763,135.0
12,B,7352,400.0
13,P,7352,1430.0
14,C,9118,117.0
15,B,9661,426.0
16,P,9661,3229.0
17,B,14132,1002.0
18,P,14132,5251.0
19,B,24576,4842.0
20,P,24576,14303.0
21,C,39199,1564.0
22,P,40840,42084.0
23,C,83923,2869.0
24,B,93863,7071.0
25,P,93863,301.0
26,C,94400,281.0
27,B,96027,1346.0
28,P,96027,1366.0
29,B,102103,4368.0
30,P,102103,1222.0
31,B,104774,1449.0
32,P,104774,13886.0
33,B,119984,942.0
34,P,119984,2653.0
35,C,122986,1027.0
36,B,126662,2649.0
37,P,126662,12411.0
38,B,141516,2040.0
39,P,141516,11050.0
40,C,153289,402.0
41,B,156230,2539.0
42,P,156230,3853.0
43,C,160238,1882.0
44,P,162227,5571.0
45,B,170143,2052.0
46,P,170143,14688.0
47,B,186178,520.0
48,P,186178,12974.0
49,C,199938,197.0
50,B,201560,1425.0
51,P,201560,10403.0
52,C,212647,2338.0
53,P,215205,5011.0
54,B,221316,604.0
55,C,221316,92.0
56,P,221441,550.0
57,B,228552,6561.0
58,C,228552,2955.0
59,P,231681,3721.0
60,C,235492,2804.0
61,P,238511,8370.0
62,B,254765,7544.0
63,C,254765,80.0
64,P,254868,4135.0
65,C,259109,262.0
66,B,261119,1748.0
67,C,261119,488.0
68,P,261646,8330.0
