,category,start,length
0,B,322,322.0
1,P,322,371.0
2,B,3714,2956.0
3,C1,3714,78.0
4,P,3817,1144.0
5,C2,5102,102.0
6,P,5329,3290.0
7,C1,8731,76.0
8,P,8831,2228.0
9,C1,11143,63.0
10,P,11223,3615.0
11,B,15486,568.0
12,P,15486,875.0
13,B,17830,1438.0
14,P,17830,2119.0
15,C2,20327,163.0
16,P,20514,265.0
17,C2,20821,83.0
18,P,20924,590.0
19,C1,21594,76.0
20,P,21703,1524.0
21,C1,23512,55.0
22,P,23591,5210.0
23,B,29960,306.0
24,P,29960,538.0
25,C1,30587,168.0
26,P,30774,6033.0
27,C1,37609,501.0
28,B,38675,379.0
29,P,38675,32815.0
30,B,78860,5714.0
31,P,78860,13788.0
32,B,95398,2443.0
33,P,95398,10005.0
34,B,106801,1142.0
35,P,106801,7688.0
36,C2,114642,1091.0
37,P,115781,23349.0
38,C2,140163,3167.0
39,P,143389,411.0
40,C2,143838,79.0
41,P,143942,1988.0
42,C2,146027,1081.0
43,P,147156,4131.0
44,C2,151372,1228.0
45,B,159829,7229.0
46,C1,159829,1021.0
47,B,167338,6488.0
48,P,167338,11756.0
49,C2,179475,1007.0
50,P,180537,1041.0
51,C2,181629,261.0
52,P,181937,1430.0
53,C2,183412,1242.0
54,P,184701,5895.0
55,B,191168,397.0
56,P,191168,18341.0
57,B,211709,1750.0
58,P,211709,127.0
59,C1,211865,135.0
60,P,212028,953.0
61,C2,213141,33.0
62,P,213196,392.0
63,B,214515,733.0
64,P,214515,1264.0
65,C1,216150,433.0
66,B,217826,1243.0
67,P,217826,228.0
68,C1,218107,117.0
69,P,218258,495.0
70,C1,219044,654.0
71,P,219767,1787.0
72,C1,221710,3689.0
73,C2,225440,222.0
74,B,226069,407.0
75,C2,226069,43.0
76,P,226131,164.0
77,B,228101,1755.0
78,C1,228101,4132.0
79,P,232277,11103.0
80,C1,243506,162.0
81,P,243703,3431.0
82,C2,247293,149.0
83,P,247579,14487.0
84,C2,262265,5376.0
