,category,start,length
0,C,183,42233.0
1,B,43051,7533.0
2,C,43051,8652.0
3,B,59302,6210.0
4,C,59302,19217.0
5,B,84775,7301.0
6,C,84775,18120.0
7,B,110274,3596.0
8,C,110274,4168.0
9,B,118038,3657.0
10,C,118038,11181.0
11,B,133146,4533.0
12,C,133146,2069.0
13,B,139748,634.0
14,C,139748,220.0
15,B,140602,2499.0
16,C,140602,13126.0
17,B,156335,6591.0
18,C,156335,8220.0
19,B,171233,9074.0
20,C,171233,2652.0
21,B,182959,22480.0
22,C,182959,7817.0
23,B,213337,26836.0
24,C,213337,2871.0
25,B,243044,5317.0
26,P,243044,884.0
27,C,249245,7658.0
28,C,257059,246.0
