scorer,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000
bodyparts,left-paw,left-paw,left-paw,left-elbow,left-elbow,left-elbow,right-paw,right-paw,right-paw,right-elbow,right-elbow,right-elbow,chest,chest,chest
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,303.10546875,228.21319580078125,1.0,334.1025390625,200.8466033935547,0.9881072044372559,146.28982543945312,247.7169952392578,1.0,217.55223083496094,219.0935516357422,1.0,239.54322814941406,176.2582550048828,1.0
1,303.0968933105469,228.24832153320312,1.0,333.51129150390625,200.73623657226562,0.9960305094718933,146.10763549804688,247.84568786621094,1.0,216.67388916015625,219.01502990722656,1.0,239.36978149414062,176.26087951660156,1.0
2,303.5024719238281,228.94190979003906,1.0,333.8670959472656,200.3529815673828,0.9987358450889587,146.34262084960938,248.05239868164062,1.0,216.91229248046875,218.81106567382812,1.0,239.9963836669922,176.7886962890625,1.0
3,303.2582092285156,229.09054565429688,1.0,333.40380859375,200.58740234375,0.9967138767242432,145.9642791748047,248.06253051757812,1.0,216.4724884033203,219.2455596923828,1.0,239.27354431152344,176.076171875,1.0
4,303.4895324707031,229.13082885742188,1.0,333.7196044921875,199.94229125976562,0.99918133020401,146.1366729736328,247.6988983154297,1.0,216.59532165527344,218.73953247070312,1.0,239.93885803222656,176.8802490234375,1.0
5,303.7621765136719,228.82568359375,1.0,333.5866394042969,199.9470672607422,0.9995951056480408,145.38519287109375,247.2510528564453,1.0,214.2535858154297,219.58892822265625,1.0,238.88861083984375,177.38372802734375,1.0
6,303.561279296875,229.342041015625,1.0,333.6620788574219,200.05001831054688,0.9991740584373474,147.57168579101562,247.6019744873047,1.0,217.9593048095703,218.93333435058594,1.0,239.6577911376953,176.2551727294922,1.0
7,303.01373291015625,228.86941528320312,1.0,333.6513366699219,200.18594360351562,0.999839186668396,143.60250854492188,247.55615234375,1.0,213.55506896972656,219.67909240722656,1.0,238.6168212890625,176.8277130126953,1.0
8,303.53912353515625,228.95945739746094,1.0,333.46533203125,199.82191467285156,0.9996283054351807,144.72897338867188,247.39675903320312,1.0,214.41012573242188,219.78753662109375,1.0,238.29098510742188,176.30517578125,1.0
9,304.073486328125,229.0687713623047,1.0,333.72283935546875,199.22935485839844,0.999833345413208,146.33523559570312,248.11317443847656,1.0,217.613037109375,218.9071502685547,1.0,239.50662231445312,176.5760498046875,1.0
10,303.32916259765625,228.92703247070312,1.0,333.46331787109375,199.82350158691406,0.9995879530906677,142.94593811035156,248.12281799316406,1.0,214.0463409423828,219.51583862304688,1.0,238.33668518066406,176.05892944335938,1.0
11,300.68328857421875,228.27342224121094,1.0,330.2873840332031,196.86990356445312,0.9999998807907104,133.23721313476562,251.81024169921875,1.0,218.46336364746094,218.7360076904297,1.0,235.32864379882812,169.8310546875,1.0
